Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,33,16,16,1,3.879,119.98
2/15/2018,33,16,16,1,3.879,119.98
2/14/2018,33,16,16,1,3.879,119.98
2/13/2018,33,16,16,1,3.879,119.98
2/12/2018,33,16,16,1,3.879,119.98
2/11/2018,33,15,17,1,3.818,119.98
2/10/2018,33,15,17,1,3.818,119.98
2/9/2018,33,15,17,1,3.818,119.98
2/8/2018,33,15,17,1,3.818,119.98
2/7/2018,33,15,17,1,3.818,119.98
2/6/2018,33,15,17,1,3.818,119.98
2/5/2018,33,15,17,1,3.818,119.98
2/4/2018,33,15,17,1,3.818,119.98
2/3/2018,33,15,17,1,3.818,119.98
2/2/2018,33,15,17,1,3.818,119.98
2/1/2018,33,15,17,1,3.818,119.82
1/31/2018,33,15,17,1,3.818,119.82
1/30/2018,33,15,17,1,3.818,119.82
1/29/2018,33,15,17,1,3.818,119.82
1/28/2018,33,15,17,1,3.818,119.82
1/27/2018,33,15,17,1,3.818,119.82
1/26/2018,33,15,17,1,3.818,119.82
1/25/2018,33,15,17,1,3.818,119.82
1/24/2018,33,15,17,1,3.818,119.56
1/23/2018,33,15,17,1,3.818,119.56
1/22/2018,33,15,17,1,3.818,119.4
1/21/2018,33,15,17,1,3.818,119.29
1/20/2018,33,15,17,1,3.818,119.29
1/19/2018,33,15,17,1,3.818,119.29
1/18/2018,33,15,17,1,3.818,119.29
1/17/2018,33,15,17,1,3.818,119.29
1/16/2018,33,15,17,1,3.818,119.29
1/15/2018,33,15,16,2,3.758,118.1
1/14/2018,33,15,16,2,3.758,116.38
1/13/2018,33,15,15,3,3.697,114.15
1/12/2018,33,15,15,3,3.697,114.15
1/11/2018,33,15,15,3,3.697,114.02
1/10/2018,33,15,15,3,3.697,114.02
1/9/2018,33,15,15,3,3.697,112.5
1/8/2018,33,16,14,3,3.758,111.66
1/7/2018,33,16,14,3,3.758,110.89
1/6/2018,33,16,14,3,3.758,110.79
1/5/2018,33,16,14,3,3.758,110.52
1/4/2018,33,16,14,3,3.758,110.52
1/3/2018,33,16,14,3,3.758,109.45
1/2/2018,33,16,14,3,3.758,108.34
1/1/2018,33,16,14,3,3.758,106.38
12/31/2017,33,16,14,3,3.758,106.38
12/30/2017,33,16,14,3,3.758,106.38
12/29/2017,33,16,14,3,3.758,106.38
12/28/2017,33,16,14,3,3.758,106.38
12/27/2017,33,16,14,3,3.758,106.38
12/26/2017,33,16,14,3,3.758,106.38
12/25/2017,33,16,14,3,3.758,106.38
12/24/2017,33,16,14,3,3.758,106.38
