Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,31,14,15,2,3.774,50.25
2/15/2018,31,14,15,2,3.774,50.25
2/14/2018,31,14,15,2,3.774,50.25
2/13/2018,31,14,15,2,3.774,50.25
2/12/2018,31,14,15,2,3.774,50.25
2/11/2018,31,14,15,2,3.774,50
2/10/2018,31,14,15,2,3.774,50
2/9/2018,31,14,15,2,3.774,50
2/8/2018,31,14,15,2,3.774,50
2/7/2018,31,14,15,2,3.774,50
2/6/2018,31,14,15,2,3.774,50
2/5/2018,31,14,15,2,3.774,50
2/4/2018,31,14,15,2,3.774,50
2/3/2018,31,14,15,2,3.774,50
2/2/2018,31,14,15,2,3.774,50
2/1/2018,31,14,15,2,3.774,50
1/31/2018,31,14,15,2,3.774,50
1/30/2018,31,14,15,2,3.774,50
1/29/2018,31,14,15,2,3.774,50
1/28/2018,31,14,15,2,3.774,50
1/27/2018,31,14,15,2,3.774,49.33
1/26/2018,31,14,15,2,3.774,49.23
1/25/2018,31,14,15,2,3.774,49.23
1/24/2018,31,14,15,2,3.774,49.23
1/23/2018,31,14,15,2,3.774,49.2
1/22/2018,31,14,15,2,3.774,49.2
1/21/2018,31,14,15,2,3.774,49.2
1/20/2018,31,14,15,2,3.774,49.2
1/19/2018,31,14,15,2,3.774,49.2
1/18/2018,31,14,15,2,3.774,49.2
1/17/2018,31,14,15,2,3.774,49.2
1/16/2018,31,13,16,2,3.71,48.94
1/15/2018,31,13,16,2,3.71,48.94
1/14/2018,31,13,16,2,3.71,48.94
1/13/2018,32,13,17,2,3.688,48.94
1/12/2018,32,13,17,2,3.688,48.94
1/11/2018,32,13,17,2,3.688,48.94
1/10/2018,32,12,18,2,3.625,48.72
1/9/2018,32,12,18,2,3.625,48.59
1/8/2018,32,12,18,2,3.625,48.59
1/7/2018,32,12,18,2,3.625,48.5
1/6/2018,32,12,18,2,3.625,48.5
1/5/2018,32,12,18,2,3.625,48.5
1/4/2018,32,12,18,2,3.625,48.5
1/3/2018,32,12,18,2,3.625,48.37
1/2/2018,32,12,18,2,3.625,48.33
