Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,37,25,12,0,4.351,190.41
2/15/2018,37,25,12,0,4.351,190.41
2/14/2018,37,25,12,0,4.351,190.41
2/13/2018,37,25,12,0,4.351,190.41
2/12/2018,37,25,12,0,4.351,190.41
2/11/2018,37,25,12,0,4.351,190.41
2/10/2018,37,25,12,0,4.351,190.41
2/9/2018,37,25,12,0,4.351,190.41
2/8/2018,37,25,12,0,4.351,190.41
2/7/2018,37,25,12,0,4.351,190.41
2/6/2018,37,25,12,0,4.351,190.41
2/5/2018,37,25,12,0,4.351,190.81
2/4/2018,37,25,12,0,4.351,192.08
2/3/2018,37,25,12,0,4.351,192.08
2/2/2018,37,25,12,0,4.351,192.08
2/1/2018,37,25,12,0,4.351,192.08
1/31/2018,37,25,12,0,4.351,192.08
1/30/2018,36,24,12,0,4.333,190.57
1/29/2018,36,24,12,0,4.333,188.14
1/28/2018,36,24,12,0,4.333,188.14
1/27/2018,36,24,12,0,4.333,188.14
1/26/2018,36,24,12,0,4.333,187.78
1/25/2018,36,24,12,0,4.333,186.56
1/24/2018,36,24,12,0,4.333,186.63
1/23/2018,36,24,12,0,4.333,186.63
1/22/2018,36,24,12,0,4.333,186.11
1/21/2018,36,24,12,0,4.333,186.11
1/20/2018,36,24,12,0,4.333,186.11
1/19/2018,36,24,12,0,4.333,186.11
1/18/2018,36,24,12,0,4.333,185.74
1/17/2018,36,24,12,0,4.333,185.74
1/16/2018,36,24,12,0,4.333,185.74
1/15/2018,36,24,12,0,4.333,184.48
1/14/2018,36,24,12,0,4.333,184.48
1/13/2018,36,24,12,0,4.333,184.48
1/12/2018,36,24,12,0,4.333,184.48
1/11/2018,36,24,12,0,4.333,184.42
1/10/2018,36,24,12,0,4.333,184.42
1/9/2018,36,24,12,0,4.333,184.42
1/8/2018,36,24,12,0,4.333,184.42
1/7/2018,36,24,12,0,4.333,184.42
1/6/2018,36,24,12,0,4.333,184.42
1/5/2018,36,24,12,0,4.333,184.42
1/4/2018,36,24,12,0,4.333,182.31
1/3/2018,36,24,12,0,4.333,182.31
1/2/2018,36,24,12,0,4.333,182.89
1/1/2018,36,24,12,0,4.333,180.04
12/31/2017,36,24,12,0,4.333,180.04
12/30/2017,36,24,12,0,4.333,180.04
12/29/2017,36,24,12,0,4.333,180.04
12/28/2017,36,24,12,0,4.333,180.04
12/27/2017,36,24,12,0,4.333,180.04
12/26/2017,36,24,12,0,4.333,180.04
12/25/2017,36,24,12,0,4.333,180.04
12/24/2017,36,24,12,0,4.333,180.04
12/23/2017,36,24,12,0,4.333,180.04
12/22/2017,36,24,12,0,4.333,180.04
12/21/2017,36,24,12,0,4.333,180.04
12/20/2017,36,24,12,0,4.333,179.67
12/19/2017,36,24,12,0,4.333,179.67
12/18/2017,36,24,12,0,4.333,179.04
12/17/2017,36,24,12,0,4.333,179.04
12/16/2017,36,24,12,0,4.333,179.04
12/15/2017,36,24,12,0,4.333,179.04
12/14/2017,36,24,12,0,4.333,179.04
12/13/2017,36,24,12,0,4.333,179.04
12/12/2017,36,24,12,0,4.333,178.67
12/11/2017,36,24,12,0,4.333,178.67
12/10/2017,36,24,12,0,4.333,178.41
12/9/2017,36,24,12,0,4.333,178.41
12/8/2017,36,24,12,0,4.333,178.41
12/7/2017,36,24,12,0,4.333,178
12/6/2017,36,24,12,0,4.333,178
12/5/2017,36,24,12,0,4.333,178
12/4/2017,36,23,13,0,4.278,176.15
12/3/2017,36,23,13,0,4.278,176.15
12/2/2017,36,23,13,0,4.278,176.15
12/1/2017,36,23,13,0,4.278,176.15
11/30/2017,36,23,13,0,4.278,175.96
11/29/2017,36,23,13,0,4.278,175.96
11/28/2017,36,23,13,0,4.278,175.96
11/27/2017,36,23,13,0,4.278,175.96
11/26/2017,36,23,13,0,4.278,175.96
11/25/2017,36,23,13,0,4.278,175.96
11/24/2017,36,23,13,0,4.278,175.96
11/23/2017,36,23,13,0,4.278,175.96
11/22/2017,36,23,13,0,4.278,175.96
11/21/2017,36,23,13,0,4.278,175.96
11/20/2017,36,23,13,0,4.278,175.96
11/19/2017,36,23,13,0,4.278,175.96
11/18/2017,36,23,13,0,4.278,175.96
11/17/2017,36,23,13,0,4.278,175.96
11/16/2017,36,23,13,0,4.278,175.96
11/15/2017,36,23,13,0,4.278,175.96
11/14/2017,36,23,13,0,4.278,175.96
11/13/2017,36,23,13,0,4.278,175.96
11/12/2017,36,23,13,0,4.278,175.96
11/11/2017,36,23,13,0,4.278,175.96
11/10/2017,36,23,13,0,4.278,175.96
11/9/2017,36,23,13,0,4.278,175.96
11/8/2017,36,23,13,0,4.278,175.96
11/7/2017,36,23,13,0,4.278,175.96
11/6/2017,36,23,13,0,4.278,175.93
11/5/2017,36,23,13,0,4.278,175.93
11/4/2017,36,23,13,0,4.278,175.93
11/3/2017,36,23,13,0,4.278,175.93
11/2/2017,36,23,13,0,4.278,175.93
11/1/2017,36,23,13,0,4.278,175.93
10/31/2017,36,23,13,0,4.278,175.93
10/30/2017,36,23,13,0,4.278,175.93
10/29/2017,36,23,13,0,4.278,175.7
10/28/2017,36,23,13,0,4.278,175.7
10/27/2017,36,23,13,0,4.278,175.7
10/26/2017,36,23,13,0,4.278,175.7
10/25/2017,36,23,12,1,4.222,173.46
10/24/2017,36,23,12,1,4.222,172.82
10/23/2017,36,23,12,1,4.222,172.21
10/22/2017,36,23,12,1,4.222,172.21
10/21/2017,36,23,12,1,4.222,172.21
10/20/2017,36,23,12,1,4.222,172.21
10/19/2017,36,23,12,1,4.222,171.5
10/18/2017,36,23,12,1,4.222,171.5
10/17/2017,36,23,12,1,4.222,171.18
10/16/2017,36,23,12,1,4.222,170.93
10/15/2017,36,23,12,1,4.222,170.93
10/14/2017,36,23,12,1,4.222,170.93
10/13/2017,36,23,12,1,4.222,170.93
10/12/2017,36,23,12,1,4.222,171
10/11/2017,36,23,12,1,4.222,170.82
10/10/2017,36,23,12,1,4.222,170.82
10/9/2017,36,23,12,1,4.222,170.82
10/8/2017,36,23,12,1,4.222,170.82
10/7/2017,36,23,12,1,4.222,170.82
10/6/2017,36,23,12,1,4.222,170.82
10/5/2017,36,23,12,1,4.222,170.82
10/4/2017,36,23,12,1,4.222,170.82
10/3/2017,36,23,12,1,4.222,170.82
10/2/2017,36,23,12,1,4.222,170.82
10/1/2017,35,23,11,1,4.257,171.22
9/30/2017,35,23,11,1,4.257,171.22
9/29/2017,35,23,11,1,4.257,171.22
9/28/2017,35,23,11,1,4.257,171.22
9/27/2017,35,22,12,1,4.2,170.38
9/26/2017,35,22,12,1,4.2,170.38
9/25/2017,35,22,12,1,4.2,170.38
9/24/2017,35,22,12,1,4.2,170.38
9/23/2017,35,22,12,1,4.2,170.38
9/22/2017,35,22,12,1,4.2,170.38
9/21/2017,35,22,12,1,4.2,170.38
9/20/2017,35,22,12,1,4.2,170.38
9/19/2017,35,22,12,1,4.2,170.38
9/18/2017,35,22,12,1,4.2,170.38
9/17/2017,35,22,12,1,4.2,170.38
9/16/2017,35,22,12,1,4.2,170.38
