Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,18,6,9,3,3.333,254.5
2/15/2018,18,6,9,3,3.333,254.5
2/14/2018,18,6,9,3,3.333,254.5
2/13/2018,17,6,9,2,3.471,255.8
2/12/2018,17,5,10,2,3.353,253.47
2/11/2018,17,5,10,2,3.353,253.47
2/10/2018,18,6,10,2,3.444,253.47
2/9/2018,18,6,10,2,3.444,253.47
2/8/2018,18,6,10,2,3.444,253.47
2/7/2018,18,6,10,2,3.444,253.47
2/6/2018,18,6,10,2,3.444,253.47
2/5/2018,18,6,10,2,3.444,253.47
2/4/2018,18,6,9,3,3.333,253.47
2/3/2018,18,6,9,3,3.333,253.47
2/2/2018,18,6,9,3,3.333,253.47
2/1/2018,18,6,9,3,3.333,253.47
1/31/2018,18,6,9,3,3.333,253.47
1/30/2018,18,6,9,3,3.333,253.47
1/29/2018,18,6,9,3,3.333,251.8
1/28/2018,18,6,9,3,3.333,255.29
1/27/2018,18,6,9,3,3.333,255.29
1/26/2018,18,6,9,3,3.333,255.29
1/25/2018,18,6,9,3,3.333,253.14
1/24/2018,18,6,9,3,3.333,253
1/23/2018,18,5,10,3,3.222,250.33
1/22/2018,17,5,9,3,3.235,249.91
1/21/2018,17,5,9,3,3.235,249.91
1/20/2018,17,5,9,3,3.235,249.91
1/19/2018,17,5,9,3,3.235,249.91
1/18/2018,17,5,9,3,3.235,249.91
1/17/2018,17,5,9,3,3.235,248.73
1/16/2018,17,5,9,3,3.235,248.73
1/15/2018,17,5,9,3,3.235,247.82
1/14/2018,17,5,9,3,3.235,247.82
1/13/2018,17,5,9,3,3.235,247.82
1/12/2018,17,5,9,3,3.235,247.82
1/11/2018,17,5,9,3,3.235,247.82
1/10/2018,17,5,9,3,3.235,247.82
1/9/2018,17,5,9,3,3.235,242.36
1/8/2018,17,5,9,3,3.235,242.36
1/7/2018,17,5,9,3,3.235,240.45
1/6/2018,17,5,9,3,3.235,240.45
1/5/2018,17,5,9,3,3.235,240.45
1/4/2018,17,5,9,3,3.235,240.45
1/3/2018,17,5,9,3,3.235,240.45
1/2/2018,17,5,9,3,3.235,238.18
1/1/2018,17,5,9,3,3.235,238.18
12/31/2017,17,5,9,3,3.235,238.18
12/30/2017,17,5,9,3,3.235,238.18
12/29/2017,17,5,9,3,3.235,238.18
12/28/2017,17,5,9,3,3.235,238.18
12/27/2017,17,5,9,3,3.235,238.18
12/26/2017,17,5,9,3,3.235,238.18
12/25/2017,17,5,9,3,3.235,238.18
12/24/2017,17,5,9,3,3.235,238.18
12/23/2017,17,5,9,3,3.235,238.18
12/22/2017,17,5,9,3,3.235,238.18
12/21/2017,17,5,9,3,3.235,238.18
12/20/2017,17,5,9,3,3.235,238.18
12/19/2017,17,5,9,3,3.235,238.18
12/18/2017,17,5,9,3,3.235,238.18
12/17/2017,17,5,9,3,3.235,238.18
12/16/2017,17,5,9,3,3.235,238.18
12/15/2017,17,5,9,3,3.235,238.18
12/14/2017,17,5,9,3,3.235,238.18
12/13/2017,17,5,9,3,3.235,237.27
12/12/2017,17,5,9,3,3.235,236.64
12/11/2017,17,5,9,3,3.235,238.3
12/10/2017,17,5,9,3,3.235,238.3
12/9/2017,17,5,9,3,3.235,238.3
12/8/2017,17,5,9,3,3.235,238.3
12/7/2017,17,5,9,3,3.235,238.3
12/6/2017,17,5,9,3,3.235,237.6
12/5/2017,17,5,9,3,3.235,237.6
12/4/2017,17,5,9,3,3.235,237.6
12/3/2017,17,5,9,3,3.235,237.6
12/2/2017,17,5,9,3,3.235,237.6
12/1/2017,17,5,9,3,3.235,237.6
11/30/2017,17,5,9,3,3.235,237.6
11/29/2017,17,5,9,3,3.235,237.6
11/28/2017,17,5,9,3,3.235,237.6
11/27/2017,17,5,9,3,3.235,237.6
11/26/2017,17,5,9,3,3.235,237.6
11/25/2017,17,5,9,3,3.235,237.6
11/24/2017,17,5,9,3,3.235,237.6
11/23/2017,17,5,9,3,3.235,237.6
11/22/2017,17,5,9,3,3.235,237.6
11/21/2017,17,5,9,3,3.235,237.6
11/20/2017,17,5,9,3,3.235,237.6
11/19/2017,17,5,9,3,3.235,237.6
11/18/2017,17,5,9,3,3.235,237.6
11/17/2017,17,5,9,3,3.235,237.6
11/16/2017,18,5,9,4,3.111,235
11/15/2017,18,5,9,4,3.111,235
11/14/2017,18,5,9,4,3.111,235
11/13/2017,18,5,9,4,3.111,235
11/12/2017,18,5,9,4,3.111,235
11/11/2017,18,5,9,4,3.111,235
11/10/2017,18,5,9,4,3.111,235
11/9/2017,18,5,9,4,3.111,235
11/8/2017,18,5,9,4,3.111,235
11/7/2017,18,5,9,4,3.111,235
11/6/2017,18,5,9,4,3.111,235
11/5/2017,19,6,9,4,3.211,237.08
11/4/2017,19,6,9,4,3.211,237.08
11/3/2017,19,6,9,4,3.211,237.08
11/2/2017,19,6,9,4,3.211,237.08
11/1/2017,19,6,9,4,3.211,237.08
10/31/2017,19,6,9,4,3.211,234.31
10/30/2017,19,6,9,4,3.211,234.31
10/29/2017,19,6,9,4,3.211,234.31
10/28/2017,19,6,9,4,3.211,234.31
10/27/2017,19,6,9,4,3.211,234.31
10/26/2017,19,6,9,4,3.211,234.31
10/25/2017,19,6,9,4,3.211,234.31
10/24/2017,19,6,8,5,3.105,228.58
10/23/2017,19,6,9,4,3.211,214.83
10/22/2017,19,6,9,4,3.211,214.83
10/21/2017,19,6,9,4,3.211,214.83
10/20/2017,19,6,9,4,3.211,214.83
10/19/2017,19,6,9,4,3.211,214.83
10/18/2017,19,6,9,4,3.211,214.83
10/17/2017,19,6,9,4,3.211,214.83
10/16/2017,19,6,9,4,3.211,214.83
10/15/2017,19,6,9,4,3.211,214.83
10/14/2017,19,6,9,4,3.211,214.83
10/13/2017,19,6,9,4,3.211,214.83
10/12/2017,19,6,9,4,3.211,214.83
10/11/2017,19,6,9,4,3.211,214.83
10/10/2017,19,6,9,4,3.211,214.42
10/9/2017,19,6,9,4,3.211,214.42
10/8/2017,19,6,9,4,3.211,211.67
10/7/2017,19,6,9,4,3.211,211.67
10/6/2017,19,6,9,4,3.211,211.67
10/5/2017,19,6,9,4,3.211,211.67
10/4/2017,18,6,8,4,3.222,209.45
10/3/2017,18,6,8,4,3.222,209.45
10/2/2017,18,6,8,4,3.222,209.45
10/1/2017,18,6,8,4,3.222,208.45
9/30/2017,18,6,8,4,3.222,208.45
9/29/2017,18,6,8,4,3.222,208.45
9/28/2017,18,6,8,4,3.222,208.45
9/27/2017,18,6,8,4,3.222,208.45
9/26/2017,18,6,8,4,3.222,208.45
9/25/2017,18,6,8,4,3.222,208.45
9/24/2017,18,6,8,4,3.222,208.45
9/23/2017,18,6,8,4,3.222,208.45
9/22/2017,18,6,8,4,3.222,208.45
9/21/2017,18,6,8,4,3.222,208.45
9/20/2017,18,6,8,4,3.222,208.45
9/19/2017,18,6,9,3,3.333,207
9/18/2017,18,6,9,3,3.333,207
9/17/2017,18,6,9,3,3.333,207
9/16/2017,18,6,9,3,3.333,207
9/15/2017,18,6,9,3,3.333,207
9/14/2017,18,6,9,3,3.333,207
9/13/2017,18,6,9,3,3.333,207
9/12/2017,18,6,9,3,3.333,207
9/11/2017,18,6,9,3,3.333,207
9/10/2017,18,6,9,3,3.333,207
9/9/2017,18,6,9,3,3.333,207
9/8/2017,18,6,9,3,3.333,207
9/7/2017,18,6,9,3,3.333,207
9/6/2017,18,6,9,3,3.333,207
9/5/2017,18,6,9,3,3.333,207
9/4/2017,18,6,9,3,3.333,209.7
9/3/2017,18,6,9,3,3.333,209.7
9/2/2017,18,6,9,3,3.333,209.7
9/1/2017,18,6,9,3,3.333,209.7
8/31/2017,18,6,9,3,3.333,209.7
8/30/2017,18,6,9,3,3.333,209.7
