Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,24,15,9,0,4.25,66.15
2/15/2018,24,15,9,0,4.25,67.05
2/14/2018,24,15,9,0,4.25,67.05
2/13/2018,24,15,9,0,4.25,66.59
2/12/2018,24,15,9,0,4.25,66.91
2/11/2018,24,15,9,0,4.25,66.91
2/10/2018,24,15,9,0,4.25,66.91
2/9/2018,24,15,9,0,4.25,66.91
2/8/2018,24,15,9,0,4.25,66.91
2/7/2018,24,15,9,0,4.25,66.91
2/6/2018,25,16,9,0,4.28,67.04
2/5/2018,25,16,9,0,4.28,66.91
2/4/2018,24,15,9,0,4.25,66.86
2/3/2018,24,15,9,0,4.25,67.64
2/2/2018,24,15,9,0,4.25,67.64
2/1/2018,24,15,9,0,4.25,67.55
1/31/2018,24,15,9,0,4.25,67.55
1/30/2018,24,15,9,0,4.25,67.55
1/29/2018,24,15,9,0,4.25,67.55
1/28/2018,24,15,9,0,4.25,67.55
1/27/2018,24,15,9,0,4.25,67.39
1/26/2018,24,15,9,0,4.25,67.39
1/25/2018,24,15,9,0,4.25,67.39
1/24/2018,24,15,9,0,4.25,67.39
1/23/2018,24,15,9,0,4.25,67.39
1/22/2018,24,15,9,0,4.25,67.17
1/21/2018,24,15,9,0,4.25,67.17
1/20/2018,24,15,9,0,4.25,67.17
1/19/2018,24,15,9,0,4.25,67.17
1/18/2018,24,15,9,0,4.25,67.17
1/17/2018,24,15,9,0,4.25,67
1/16/2018,24,15,9,0,4.25,66.65
1/15/2018,24,14,10,0,4.167,65.82
1/14/2018,24,14,10,0,4.167,65.82
1/13/2018,24,14,10,0,4.167,65.82
1/12/2018,24,14,10,0,4.167,65.82
1/11/2018,24,14,10,0,4.167,65.82
1/10/2018,24,14,10,0,4.167,65.82
1/9/2018,24,14,10,0,4.167,65.82
1/8/2018,24,14,10,0,4.167,65.71
1/7/2018,24,14,10,0,4.167,65.71
1/6/2018,24,14,10,0,4.167,65.71
1/5/2018,24,14,10,0,4.167,65.71
1/4/2018,24,14,10,0,4.167,65.71
1/3/2018,24,14,10,0,4.167,65.52
1/2/2018,24,14,10,0,4.167,65.52
1/1/2018,24,14,10,0,4.167,65.52
12/31/2017,24,14,10,0,4.167,65.52
12/30/2017,24,14,10,0,4.167,65.52
12/29/2017,24,14,10,0,4.167,65.52
12/28/2017,24,14,10,0,4.167,65.52
12/27/2017,24,14,10,0,4.167,65.52
12/26/2017,24,14,10,0,4.167,65.52
12/25/2017,24,14,10,0,4.167,65.52
12/24/2017,24,14,10,0,4.167,65.52
12/23/2017,24,14,10,0,4.167,65.52
12/22/2017,24,14,10,0,4.167,65.52
12/21/2017,24,14,10,0,4.167,65.52
12/20/2017,24,14,10,0,4.167,65.52
12/19/2017,24,14,10,0,4.167,65.52
12/18/2017,24,14,10,0,4.167,65.52
12/17/2017,24,14,10,0,4.167,65.67
12/16/2017,24,14,10,0,4.167,65.67
12/15/2017,24,14,10,0,4.167,65.67
12/14/2017,24,14,10,0,4.167,65.67
12/13/2017,24,14,10,0,4.167,65.67
12/12/2017,24,14,10,0,4.167,65.67
12/11/2017,24,14,10,0,4.167,65.67
12/10/2017,24,14,10,0,4.167,65.67
12/9/2017,24,14,10,0,4.167,65.67
12/8/2017,24,14,10,0,4.167,65.67
12/7/2017,24,14,10,0,4.167,65.67
12/6/2017,24,14,10,0,4.167,65.45
12/5/2017,24,14,10,0,4.167,65.45
12/4/2017,24,14,10,0,4.167,65.45
12/3/2017,24,14,10,0,4.167,65.45
12/2/2017,24,14,10,0,4.167,65.45
12/1/2017,24,14,10,0,4.167,65.45
11/30/2017,24,14,10,0,4.167,65.45
11/29/2017,24,14,10,0,4.167,65.45
11/28/2017,24,14,10,0,4.167,65.45
11/27/2017,24,14,10,0,4.167,65.45
11/26/2017,23,13,10,0,4.13,65.53
11/25/2017,23,13,10,0,4.13,65.53
11/24/2017,23,13,10,0,4.13,65.53
11/23/2017,23,13,10,0,4.13,65.53
11/22/2017,23,13,10,0,4.13,65.53
11/21/2017,23,13,10,0,4.13,65.68
11/20/2017,23,13,10,0,4.13,65.68
11/19/2017,23,13,10,0,4.13,66
11/18/2017,23,13,10,0,4.13,66
11/17/2017,23,13,10,0,4.13,66
11/16/2017,23,13,10,0,4.13,66
11/15/2017,23,13,10,0,4.13,66.11
11/14/2017,23,13,10,0,4.13,66.11
11/13/2017,23,13,10,0,4.13,66.37
11/12/2017,23,13,10,0,4.13,66.37
11/11/2017,23,13,10,0,4.13,66.37
11/10/2017,23,13,10,0,4.13,66.37
11/9/2017,23,13,10,0,4.13,66.37
11/8/2017,23,13,10,0,4.13,66.37
11/7/2017,23,13,10,0,4.13,66.63
11/6/2017,23,13,10,0,4.13,66.63
11/5/2017,23,13,10,0,4.13,66.63
11/4/2017,23,13,10,0,4.13,66.63
11/3/2017,23,13,10,0,4.13,66.63
11/2/2017,23,13,10,0,4.13,66.63
11/1/2017,23,13,10,0,4.13,66.63
10/31/2017,23,13,10,0,4.13,66.63
10/30/2017,23,13,9,1,4.043,66.58
10/29/2017,23,16,6,1,4.304,70.11
10/28/2017,23,16,6,1,4.304,69.89
10/27/2017,23,16,6,1,4.304,69.95
10/26/2017,23,15,7,1,4.217,70.53
10/25/2017,23,15,7,1,4.217,70.53
10/24/2017,23,15,7,1,4.217,70.53
10/23/2017,23,15,7,1,4.217,70.53
10/22/2017,23,15,7,1,4.217,70.37
10/21/2017,23,15,7,1,4.217,70.37
10/20/2017,23,15,7,1,4.217,70.37
10/19/2017,23,15,7,1,4.217,70.37
10/18/2017,23,15,7,1,4.217,70.37
10/17/2017,23,14,8,1,4.13,70
10/16/2017,23,14,8,1,4.13,70.05
10/15/2017,23,14,8,1,4.13,70.05
10/14/2017,23,14,8,1,4.13,70.05
10/13/2017,23,14,8,1,4.13,70.05
10/12/2017,23,14,8,1,4.13,70.05
10/11/2017,23,14,8,1,4.13,70.16
10/10/2017,23,14,8,1,4.13,70.16
10/9/2017,23,14,8,1,4.13,70.45
10/8/2017,23,14,8,1,4.13,70.45
10/7/2017,23,14,8,1,4.13,70.45
10/6/2017,23,14,8,1,4.13,70.45
10/5/2017,23,14,8,1,4.13,70.45
10/4/2017,23,14,8,1,4.13,70.45
10/3/2017,23,14,8,1,4.13,70.45
10/2/2017,23,14,8,1,4.13,70.45
10/1/2017,23,14,8,1,4.13,70.45
9/30/2017,23,14,8,1,4.13,70.45
9/29/2017,23,14,8,1,4.13,70.45
9/28/2017,23,14,8,1,4.13,70.45
9/27/2017,23,14,8,1,4.13,70.45
9/26/2017,23,14,8,1,4.13,70.45
9/25/2017,23,14,8,1,4.13,70.45
9/24/2017,23,14,8,1,4.13,70.45
9/23/2017,23,14,8,1,4.13,70.45
9/22/2017,23,14,8,1,4.13,70.45
9/21/2017,23,14,8,1,4.13,70.45
9/20/2017,23,14,8,1,4.13,70.45
9/19/2017,23,14,8,1,4.13,70.45
9/18/2017,23,14,8,1,4.13,70.45
9/17/2017,23,14,8,1,4.13,70.45
9/16/2017,23,14,8,1,4.13,70.45
9/15/2017,23,14,8,1,4.13,70.45
9/14/2017,23,14,8,1,4.13,70.45
9/13/2017,23,14,8,1,4.13,70.45
9/12/2017,23,14,8,1,4.13,70.45
9/11/2017,23,14,8,1,4.13,70.45
9/10/2017,23,14,8,1,4.13,70.45
9/9/2017,23,14,8,1,4.13,70.45
9/8/2017,23,14,8,1,4.13,70.45
9/7/2017,23,14,8,1,4.13,70.47
9/6/2017,23,14,8,1,4.13,70.53
9/5/2017,23,14,8,1,4.13,70.53
9/4/2017,23,14,8,1,4.13,70
9/3/2017,23,14,8,1,4.13,70
9/2/2017,23,14,8,1,4.13,70.53
9/1/2017,23,14,8,1,4.13,70.4
8/31/2017,23,14,8,1,4.13,70.4
8/30/2017,23,14,8,1,4.13,70.4
8/29/2017,23,14,8,1,4.13,70.4
8/28/2017,23,14,8,1,4.13,70.45
8/27/2017,23,14,8,1,4.13,70.45
8/26/2017,23,14,8,1,4.13,70.45
8/25/2017,23,14,8,1,4.13,70.45
8/24/2017,23,14,8,1,4.13,70.45
8/23/2017,23,14,8,1,4.13,70.45
8/22/2017,23,14,8,1,4.13,70.45
