Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,37,29,6,2,4.459,103.26
2/15/2018,37,29,6,2,4.459,103.26
2/14/2018,37,29,6,2,4.459,103.26
2/13/2018,37,29,6,2,4.459,103.26
2/12/2018,37,29,6,2,4.459,103.26
2/11/2018,37,29,6,2,4.459,103.26
2/10/2018,37,29,6,2,4.459,103.26
2/9/2018,37,29,6,2,4.459,103.26
2/8/2018,37,29,6,2,4.459,103.26
2/7/2018,37,29,6,2,4.459,103.26
2/6/2018,37,29,6,2,4.459,103.58
2/5/2018,36,28,6,2,4.444,103.58
2/4/2018,36,28,6,2,4.444,104.48
2/3/2018,36,28,6,2,4.444,104.48
2/2/2018,36,28,6,2,4.444,104.3
2/1/2018,36,27,7,2,4.389,103.63
1/31/2018,36,27,7,2,4.389,98.86
1/30/2018,36,27,7,2,4.389,97.31
1/29/2018,36,27,7,2,4.389,97.31
1/28/2018,36,27,7,2,4.389,96.74
1/27/2018,36,27,7,2,4.389,96.36
1/26/2018,36,27,7,2,4.389,96.36
1/25/2018,36,27,7,2,4.389,95.85
1/24/2018,36,27,7,2,4.389,95.78
1/23/2018,36,27,7,2,4.389,95.78
1/22/2018,35,26,7,2,4.371,95.32
1/21/2018,35,26,7,2,4.371,95.26
1/20/2018,35,26,7,2,4.371,95.26
1/19/2018,35,26,7,2,4.371,95.26
1/18/2018,35,26,7,2,4.371,94.6
1/17/2018,35,26,7,2,4.371,93.77
1/16/2018,35,26,7,2,4.371,93.37
1/15/2018,35,26,7,2,4.371,93.37
1/14/2018,35,26,7,2,4.371,93.37
1/13/2018,35,26,7,2,4.371,93.37
1/12/2018,35,26,7,2,4.371,93.37
1/11/2018,35,26,7,2,4.371,93.17
1/10/2018,35,26,7,2,4.371,92.13
1/9/2018,35,26,7,2,4.371,92.13
1/8/2018,35,26,7,2,4.371,92.13
1/7/2018,35,26,7,2,4.371,92.13
1/6/2018,35,26,7,2,4.371,92.13
1/5/2018,35,26,7,2,4.371,92.13
1/4/2018,35,26,7,2,4.371,92.13
1/3/2018,35,26,7,2,4.371,91.63
1/2/2018,35,26,7,2,4.371,91.63
1/1/2018,35,26,7,2,4.371,91.63
12/31/2017,35,26,7,2,4.371,91.63
12/30/2017,35,26,7,2,4.371,91.63
12/29/2017,35,26,7,2,4.371,91.63
12/28/2017,35,26,7,2,4.371,91.63
12/27/2017,35,26,7,2,4.371,91.63
12/26/2017,35,26,7,2,4.371,91.63
12/25/2017,35,26,7,2,4.371,91.63
12/24/2017,35,26,7,2,4.371,91.63
12/23/2017,35,26,7,2,4.371,91.63
12/22/2017,35,26,7,2,4.371,91.63
12/21/2017,35,26,7,2,4.371,91.63
12/20/2017,35,26,7,2,4.371,91.63
12/19/2017,35,26,7,2,4.371,90.97
12/18/2017,35,26,7,2,4.371,90.97
12/17/2017,35,26,7,2,4.371,90.97
12/16/2017,35,26,7,2,4.371,90.97
12/15/2017,35,26,7,2,4.371,90.97
12/14/2017,35,26,7,2,4.371,90.97
12/13/2017,35,26,7,2,4.371,90.97
12/12/2017,35,26,7,2,4.371,90.97
12/11/2017,35,26,7,2,4.371,90.97
12/10/2017,35,26,7,2,4.371,90.97
12/9/2017,35,26,7,2,4.371,90.97
12/8/2017,35,26,7,2,4.371,90.97
12/7/2017,35,26,7,2,4.371,90.97
12/6/2017,35,26,7,2,4.371,90.53
12/5/2017,35,26,7,2,4.371,90.53
12/4/2017,35,26,7,2,4.371,90.53
12/3/2017,35,26,7,2,4.371,90.53
12/2/2017,35,26,7,2,4.371,90.53
12/1/2017,35,26,7,2,4.371,90.53
11/30/2017,35,26,7,2,4.371,90.53
11/29/2017,35,26,7,2,4.371,90.53
11/28/2017,35,26,7,2,4.371,90.53
11/27/2017,35,26,7,2,4.371,90.53
11/26/2017,35,26,7,2,4.371,90.48
11/25/2017,35,26,7,2,4.371,90.48
11/24/2017,35,26,7,2,4.371,90.48
11/23/2017,35,26,7,2,4.371,90.48
11/22/2017,35,26,7,2,4.371,90.48
11/21/2017,35,26,7,2,4.371,90.48
11/20/2017,35,26,7,2,4.371,90.48
11/19/2017,35,26,7,2,4.371,90.48
11/18/2017,35,26,7,2,4.371,90.48
11/17/2017,35,26,7,2,4.371,90.48
11/16/2017,35,26,7,2,4.371,90.48
11/15/2017,35,26,7,2,4.371,90.48
11/14/2017,35,26,7,2,4.371,90.48
11/13/2017,35,26,7,2,4.371,90.48
11/12/2017,35,26,7,2,4.371,90.48
11/11/2017,35,26,7,2,4.371,90.48
11/10/2017,35,26,7,2,4.371,90.48
11/9/2017,35,26,7,2,4.371,90.48
11/8/2017,35,26,7,2,4.371,89.96
11/7/2017,35,26,7,2,4.371,89.96
11/6/2017,35,26,7,2,4.371,89.96
11/5/2017,35,26,7,2,4.371,89.96
11/4/2017,35,26,7,2,4.371,89.96
11/3/2017,35,26,7,2,4.371,89.96
11/2/2017,35,26,7,2,4.371,89.79
11/1/2017,35,26,7,2,4.371,89.3
10/31/2017,35,26,7,2,4.371,89.3
10/30/2017,35,25,8,2,4.314,89.09
10/29/2017,35,25,8,2,4.314,90.05
10/28/2017,35,25,8,2,4.314,90.05
10/27/2017,35,25,8,2,4.314,90.05
10/26/2017,34,25,7,2,4.353,84.83
10/25/2017,34,25,7,2,4.353,82.81
10/24/2017,34,25,7,2,4.353,81.28
10/23/2017,34,25,7,2,4.353,81.21
10/22/2017,34,25,7,2,4.353,80.58
10/21/2017,34,25,7,2,4.353,80.32
10/20/2017,34,25,7,2,4.353,80.39
10/19/2017,34,25,7,2,4.353,80.39
10/18/2017,34,25,7,2,4.353,80.68
10/17/2017,34,25,7,2,4.353,80.38
10/16/2017,34,25,7,2,4.353,80.38
10/15/2017,34,25,7,2,4.353,80.38
10/14/2017,34,25,7,2,4.353,80.38
10/13/2017,34,25,7,2,4.353,80.38
10/12/2017,34,26,6,2,4.412,80.38
10/11/2017,34,26,6,2,4.412,80.38
10/10/2017,34,26,6,2,4.412,80.38
10/9/2017,34,26,6,2,4.412,80.38
10/8/2017,34,26,6,2,4.412,80.38
10/7/2017,34,26,6,2,4.412,80.38
10/6/2017,34,26,6,2,4.412,80.38
10/5/2017,34,26,6,2,4.412,80.38
10/4/2017,34,26,6,2,4.412,80.38
10/3/2017,34,25,7,2,4.353,79.99
10/2/2017,34,25,7,2,4.353,79.99
10/1/2017,34,25,7,2,4.353,80.36
9/30/2017,34,25,7,2,4.353,80.36
9/29/2017,34,25,7,2,4.353,80.36
9/28/2017,34,25,7,2,4.353,80.36
9/27/2017,34,25,7,2,4.353,80.36
9/26/2017,34,25,7,2,4.353,80.36
9/25/2017,34,25,7,2,4.353,80.36
9/24/2017,34,25,7,2,4.353,80.36
9/23/2017,34,25,7,2,4.353,80.36
9/22/2017,34,25,7,2,4.353,80.36
9/21/2017,34,25,7,2,4.353,80.35
9/20/2017,34,25,7,2,4.353,80.35
9/19/2017,34,25,7,2,4.353,80.35
9/18/2017,34,25,7,2,4.353,80.35
9/17/2017,34,25,7,2,4.353,80.17
9/16/2017,34,25,7,2,4.353,80.17
9/15/2017,34,25,7,2,4.353,80.17
9/14/2017,34,25,7,2,4.353,80.17
9/13/2017,34,25,7,2,4.353,80.17
9/12/2017,34,25,7,2,4.353,80.17
9/11/2017,35,25,8,2,4.314,79.82
9/10/2017,35,25,8,2,4.314,79.82
9/9/2017,35,25,8,2,4.314,79.82
9/8/2017,35,25,8,2,4.314,79.82
9/7/2017,35,25,8,2,4.314,79.82
9/6/2017,35,25,8,2,4.314,79.82
9/5/2017,35,25,8,2,4.314,79.82
9/4/2017,35,25,8,2,4.314,79.82
9/3/2017,35,25,8,2,4.314,79.82
9/2/2017,35,25,8,2,4.314,79.82
9/1/2017,35,25,8,2,4.314,79.82
8/31/2017,35,25,8,2,4.314,79.82
8/30/2017,35,25,8,2,4.314,79.82
8/29/2017,35,25,8,2,4.314,79.82
8/28/2017,35,25,8,2,4.314,79.82
8/27/2017,35,25,8,2,4.314,79.82
8/26/2017,35,25,8,2,4.314,79.82
8/25/2017,35,25,8,2,4.314,79.82
8/24/2017,35,25,8,2,4.314,79.82
8/23/2017,35,25,8,2,4.314,79.82
8/22/2017,35,25,8,2,4.314,79.82
8/21/2017,35,25,8,2,4.314,79.82
8/20/2017,35,25,8,2,4.314,79.82
8/19/2017,35,25,8,2,4.314,79.82
8/18/2017,35,25,8,2,4.314,79.82
8/17/2017,35,25,8,2,4.314,79.82
8/16/2017,35,25,8,2,4.314,79.82
8/15/2017,35,25,8,2,4.314,79.82
8/14/2017,35,25,8,2,4.314,79.82
8/13/2017,35,25,8,2,4.314,79.82
8/12/2017,35,25,8,2,4.314,79.82
