Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,38,21,15,2,4,67.57
2/15/2018,38,21,15,2,4,67.57
2/14/2018,38,21,15,2,4,67.27
2/13/2018,38,21,15,2,4,67.27
2/12/2018,39,21,16,2,3.974,67.2
2/11/2018,39,21,16,2,3.974,67.2
2/10/2018,39,21,16,2,3.974,67.2
2/9/2018,39,21,16,2,3.974,67.2
2/8/2018,39,21,16,2,3.974,67.2
2/7/2018,39,21,16,2,3.974,67.2
2/6/2018,39,21,16,2,3.974,67.2
2/5/2018,39,21,16,2,3.974,67.2
2/4/2018,39,21,16,2,3.974,67.2
2/3/2018,39,21,16,2,3.974,67.2
2/2/2018,39,21,16,2,3.974,67.2
2/1/2018,39,21,16,2,3.974,67.2
1/31/2018,39,21,16,2,3.974,66.9
1/30/2018,39,21,16,2,3.974,66.17
1/29/2018,39,21,16,2,3.974,66.17
1/28/2018,39,21,16,2,3.974,66.17
1/27/2018,39,21,16,2,3.974,66.17
1/26/2018,39,21,16,2,3.974,66.17
1/25/2018,39,21,16,2,3.974,65.98
1/24/2018,39,21,16,2,3.974,65.95
1/23/2018,39,21,16,2,3.974,65.95
1/22/2018,39,21,16,2,3.974,65.95
1/21/2018,39,21,16,2,3.974,65.88
1/20/2018,39,21,16,2,3.974,65.88
1/19/2018,39,21,16,2,3.974,65.88
1/18/2018,39,20,17,2,3.923,65.24
1/17/2018,39,20,17,2,3.923,65.24
1/16/2018,39,20,17,2,3.923,65.24
1/15/2018,39,20,17,2,3.923,65.24
1/14/2018,39,20,17,2,3.923,65.24
1/13/2018,39,20,17,2,3.923,65.24
1/12/2018,39,20,17,2,3.923,65.24
1/11/2018,39,20,17,2,3.923,65.24
1/10/2018,39,20,17,2,3.923,65.24
1/9/2018,39,20,17,2,3.923,65.17
1/8/2018,39,20,17,2,3.923,65.17
1/7/2018,39,20,17,2,3.923,65.17
1/6/2018,39,20,17,2,3.923,65.24
1/5/2018,39,20,17,2,3.923,65.24
1/4/2018,38,19,17,2,3.895,64.88
1/3/2018,38,19,17,2,3.895,64.88
1/2/2018,39,19,18,2,3.872,64.74
1/1/2018,39,19,18,2,3.872,64.74
12/31/2017,39,19,18,2,3.872,64.74
12/30/2017,39,19,18,2,3.872,64.74
12/29/2017,39,19,18,2,3.872,64.74
12/28/2017,39,19,18,2,3.872,64.74
12/27/2017,39,19,18,2,3.872,64.74
12/26/2017,39,19,18,2,3.872,64.74
12/25/2017,39,19,18,2,3.872,64.44
12/24/2017,39,19,18,2,3.872,64.44
12/23/2017,39,19,18,2,3.872,64.44
12/22/2017,39,19,18,2,3.872,64.44
12/21/2017,39,19,18,2,3.872,63.13
12/20/2017,39,19,18,2,3.872,62.37
12/19/2017,39,19,18,2,3.872,62.37
12/18/2017,39,19,18,2,3.872,62.06
12/17/2017,39,19,18,2,3.872,61.1
12/16/2017,39,19,18,2,3.872,61.1
12/15/2017,39,19,18,2,3.872,61.1
12/14/2017,39,19,18,2,3.872,60.68
12/13/2017,39,18,19,2,3.821,59.1
12/12/2017,39,18,19,2,3.821,58.67
12/11/2017,39,18,19,2,3.821,58.62
12/10/2017,39,19,18,2,3.872,58.62
12/9/2017,39,19,18,2,3.872,58.62
12/8/2017,39,19,18,2,3.872,58.62
12/7/2017,39,19,19,1,3.923,58.77
12/6/2017,39,19,19,1,3.923,58.44
12/5/2017,39,19,19,1,3.923,58.44
12/4/2017,39,19,19,1,3.923,58.44
12/3/2017,39,19,19,1,3.923,58.44
12/2/2017,39,19,19,1,3.923,58.44
12/1/2017,39,19,19,1,3.923,58.44
11/30/2017,39,19,19,1,3.923,58.44
11/29/2017,39,19,19,1,3.923,58.64
11/28/2017,39,19,19,1,3.923,58.64
11/27/2017,39,20,18,1,3.974,58.64
11/26/2017,39,20,18,1,3.974,58.64
11/25/2017,39,20,18,1,3.974,58.64
11/24/2017,39,20,18,1,3.974,58.64
11/23/2017,38,20,17,1,4,58.72
11/22/2017,38,20,17,1,4,58.72
11/21/2017,38,20,17,1,4,58.72
11/20/2017,38,20,17,1,4,58.72
11/19/2017,38,20,17,1,4,58.72
11/18/2017,38,20,17,1,4,58.72
11/17/2017,38,20,17,1,4,58.72
11/16/2017,39,21,17,1,4.026,58.83
11/15/2017,39,21,17,1,4.026,58.83
11/14/2017,39,21,17,1,4.026,58.83
11/13/2017,39,21,17,1,4.026,58.83
11/12/2017,39,21,17,1,4.026,58.83
11/11/2017,39,21,17,1,4.026,58.83
11/10/2017,39,21,17,1,4.026,58.83
11/9/2017,39,21,17,1,4.026,58.83
11/8/2017,39,21,17,1,4.026,58.83
11/7/2017,39,21,17,1,4.026,58.83
11/6/2017,39,21,17,1,4.026,58.83
11/5/2017,39,21,17,1,4.026,58.83
11/4/2017,39,21,17,1,4.026,58.83
11/3/2017,39,21,17,1,4.026,58.83
11/2/2017,39,21,17,1,4.026,58.83
11/1/2017,39,21,17,1,4.026,58.83
10/31/2017,38,21,16,1,4.053,59.05
10/30/2017,39,21,17,1,4.026,58.83
10/29/2017,39,21,17,1,4.026,58.83
10/28/2017,39,21,17,1,4.026,58.83
10/27/2017,39,21,17,1,4.026,58.83
10/26/2017,39,21,17,1,4.026,58.73
10/25/2017,39,21,17,1,4.026,58.74
10/24/2017,38,20,17,1,4,58.68
10/23/2017,38,20,17,1,4,58.68
10/22/2017,38,20,17,1,4,58.68
10/21/2017,38,20,17,1,4,58.68
10/20/2017,38,20,17,1,4,58.68
10/19/2017,39,21,17,1,4.026,58.83
10/18/2017,39,22,16,1,4.077,58.83
10/17/2017,39,22,16,1,4.077,58.83
10/16/2017,39,22,16,1,4.077,58.83
10/15/2017,39,22,16,1,4.077,58.83
10/14/2017,39,22,16,1,4.077,58.83
10/13/2017,39,22,16,1,4.077,58.83
10/12/2017,39,22,16,1,4.077,58.83
10/11/2017,39,22,16,1,4.077,58.83
10/10/2017,39,22,16,1,4.077,58.83
10/9/2017,39,22,16,1,4.077,58.83
10/8/2017,39,22,16,1,4.077,58.83
10/7/2017,39,22,16,1,4.077,58.83
10/6/2017,39,22,16,1,4.077,58.83
10/5/2017,39,22,16,1,4.077,58.83
10/4/2017,38,22,15,1,4.105,58.93
10/3/2017,38,22,15,1,4.105,58.93
10/2/2017,38,22,15,1,4.105,58.93
10/1/2017,38,22,15,1,4.105,58.93
9/30/2017,38,22,15,1,4.105,58.93
9/29/2017,38,22,15,1,4.105,58.93
9/28/2017,38,22,15,1,4.105,58.93
9/27/2017,38,22,15,1,4.105,59.12
9/26/2017,38,22,15,1,4.105,59.91
9/25/2017,38,22,15,1,4.105,60.27
9/24/2017,38,22,15,1,4.105,60.34
9/23/2017,38,22,15,1,4.105,60.34
9/22/2017,38,22,15,1,4.105,60.34
9/21/2017,38,22,15,1,4.105,60.37
9/20/2017,38,22,15,1,4.105,60.37
9/19/2017,38,22,15,1,4.105,60.37
9/18/2017,38,23,14,1,4.132,61.12
9/17/2017,38,23,14,1,4.132,61.16
9/16/2017,38,23,14,1,4.132,61.16
9/15/2017,38,23,14,1,4.132,60.95
9/14/2017,38,23,14,1,4.132,60.95
9/13/2017,38,23,14,1,4.132,60.95
9/12/2017,38,23,14,1,4.132,61.2
9/11/2017,38,23,14,1,4.132,61.2
9/10/2017,37,22,14,1,4.108,60.91
9/9/2017,37,22,14,1,4.108,60.91
9/8/2017,37,22,14,1,4.108,60.91
9/7/2017,37,22,14,1,4.108,60.91
9/6/2017,37,22,14,1,4.108,60.91
9/5/2017,37,21,15,1,4.054,60.91
9/4/2017,37,21,15,1,4.054,60.91
9/3/2017,37,21,15,1,4.054,60.91
9/2/2017,37,21,15,1,4.054,60.91
9/1/2017,37,21,15,1,4.054,60.91
8/31/2017,37,21,15,1,4.054,60.91
8/30/2017,37,21,15,1,4.054,60.91
8/29/2017,37,21,15,1,4.054,60.98
8/28/2017,37,21,15,1,4.054,61.13
8/27/2017,37,21,15,1,4.054,61.13
8/26/2017,37,21,15,1,4.054,61.13
8/25/2017,37,21,15,1,4.054,61.13
8/24/2017,37,21,15,1,4.054,61.13
8/23/2017,37,21,15,1,4.054,61.13
8/22/2017,37,21,15,1,4.054,61.13
8/21/2017,37,21,15,1,4.054,61.13
8/20/2017,37,22,14,1,4.108,61.87
8/19/2017,37,22,14,1,4.108,61.87
8/18/2017,37,22,14,1,4.108,61.87
8/17/2017,37,22,14,1,4.108,61.87
8/16/2017,37,22,14,1,4.108,61.87
8/15/2017,37,22,14,1,4.108,61.87
8/14/2017,37,22,14,1,4.108,61.87
8/13/2017,37,22,14,1,4.108,61.87
8/12/2017,37,22,14,1,4.108,61.87
8/11/2017,37,22,14,1,4.108,61.87
8/10/2017,37,22,14,1,4.108,61.87
8/9/2017,37,22,14,1,4.108,61.87
8/8/2017,37,22,14,1,4.108,61.87
8/7/2017,37,22,14,1,4.108,61.87
8/6/2017,37,22,14,1,4.108,61.87
8/5/2017,37,22,14,1,4.108,61.87
8/4/2017,37,22,14,1,4.108,61.87
8/3/2017,37,22,14,1,4.108,61.87
8/2/2017,37,22,14,1,4.108,61.87
8/1/2017,37,22,14,1,4.108,61.87
7/31/2017,37,22,14,1,4.108,61.87
7/30/2017,37,22,14,1,4.108,61.8
7/29/2017,37,22,14,1,4.108,61.8
7/28/2017,37,22,14,1,4.108,61.8
7/27/2017,37,22,14,1,4.108,61.8
7/26/2017,37,22,14,1,4.108,61.8
7/25/2017,37,22,14,1,4.108,61.8
7/24/2017,37,22,14,1,4.108,61.8
7/23/2017,37,22,14,1,4.108,61.8
7/22/2017,37,22,14,1,4.108,61.8
7/21/2017,37,22,14,1,4.108,61.8
