Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,26,14,10,2,3.923,40.43
2/15/2018,26,14,10,2,3.923,40.43
2/14/2018,26,14,10,2,3.923,40.43
2/13/2018,26,14,10,2,3.923,40.43
2/12/2018,26,14,10,2,3.923,40.43
2/11/2018,26,14,10,2,3.923,40.43
2/10/2018,26,14,10,2,3.923,40.43
2/9/2018,26,14,10,2,3.923,40.43
2/8/2018,26,14,10,2,3.923,40.24
2/7/2018,26,14,10,2,3.923,40.24
2/6/2018,27,15,10,2,3.963,40.81
2/5/2018,27,15,10,2,3.963,40.81
2/4/2018,27,15,10,2,3.963,40.81
2/3/2018,27,15,10,2,3.963,40.81
2/2/2018,27,15,10,2,3.963,40.81
2/1/2018,27,15,10,2,3.963,40.81
1/31/2018,27,15,10,2,3.963,40.81
1/30/2018,26,14,11,1,4,40.09
1/29/2018,25,14,10,1,4.04,39.52
1/28/2018,25,14,10,1,4.04,39.52
1/27/2018,25,14,10,1,4.04,39.19
1/26/2018,25,14,10,1,4.04,39.19
1/25/2018,25,14,10,1,4.04,39.19
1/24/2018,25,14,10,1,4.04,39.19
1/23/2018,25,14,10,1,4.04,39.2
1/22/2018,25,14,10,1,4.04,39
1/21/2018,25,14,10,1,4.04,39
1/20/2018,25,14,10,1,4.04,39
1/19/2018,25,14,10,1,4.04,39
1/18/2018,25,14,10,1,4.04,39
1/17/2018,25,14,10,1,4.04,38.85
1/16/2018,25,14,10,1,4.04,38.85
1/15/2018,25,14,10,1,4.04,38.8
1/14/2018,25,14,10,1,4.04,38.8
1/13/2018,25,14,10,1,4.04,38.8
1/12/2018,25,14,10,1,4.04,38.8
1/11/2018,25,14,10,1,4.04,38.8
1/10/2018,25,14,10,1,4.04,38.8
1/9/2018,25,14,10,1,4.04,38.8
1/8/2018,25,14,10,1,4.04,38.8
1/7/2018,25,14,10,1,4.04,38.8
1/6/2018,25,14,10,1,4.04,38.8
1/5/2018,25,14,10,1,4.04,38.8
1/4/2018,25,14,10,1,4.04,38.8
1/3/2018,25,14,10,1,4.04,38.7
1/2/2018,25,14,10,1,4.04,38.7
1/1/2018,25,14,10,1,4.04,38.7
12/31/2017,25,14,10,1,4.04,38.7
12/30/2017,25,14,10,1,4.04,38.7
12/29/2017,25,14,10,1,4.04,38.7
12/28/2017,25,14,10,1,4.04,38.7
12/27/2017,25,14,10,1,4.04,38.7
12/26/2017,25,14,10,1,4.04,38.7
12/25/2017,25,14,10,1,4.04,38.7
12/24/2017,25,14,10,1,4.04,38.7
12/23/2017,25,14,10,1,4.04,38.7
12/22/2017,25,14,10,1,4.04,38.7
12/21/2017,25,14,10,1,4.04,38.7
12/20/2017,25,14,10,1,4.04,38.7
12/19/2017,25,14,10,1,4.04,38.7
12/18/2017,25,14,10,1,4.04,38.6
12/17/2017,25,14,10,1,4.04,38.55
12/16/2017,25,14,10,1,4.04,38.55
12/15/2017,25,14,10,1,4.04,38.55
12/14/2017,25,14,10,1,4.04,38.55
12/13/2017,25,14,10,1,4.04,38.55
12/12/2017,25,14,10,1,4.04,38.55
12/11/2017,25,14,10,1,4.04,38.55
12/10/2017,25,14,10,1,4.04,38.55
12/9/2017,25,14,10,1,4.04,38.55
12/8/2017,25,14,10,1,4.04,38.55
12/7/2017,25,14,10,1,4.04,38.55
12/6/2017,25,14,10,1,4.04,38.55
12/5/2017,24,13,10,1,4,38.47
12/4/2017,24,13,10,1,4,38.47
12/3/2017,24,13,10,1,4,38.47
12/2/2017,24,13,10,1,4,38.47
12/1/2017,24,13,10,1,4,38.47
11/30/2017,24,13,10,1,4,38.47
11/29/2017,24,13,10,1,4,38.47
11/28/2017,24,13,10,1,4,38.47
11/27/2017,24,13,10,1,4,38.47
11/26/2017,23,12,10,1,3.957,38.39
11/25/2017,23,12,10,1,3.957,38.39
11/24/2017,23,12,10,1,3.957,38.39
11/23/2017,23,12,10,1,3.957,38.39
11/22/2017,23,12,10,1,3.957,38.39
11/21/2017,23,12,10,1,3.957,38.39
11/20/2017,23,12,10,1,3.957,38.47
11/19/2017,23,12,10,1,3.957,38.47
11/18/2017,23,12,10,1,3.957,38.47
11/17/2017,23,12,10,1,3.957,38.47
11/16/2017,23,12,10,1,3.957,38.47
11/15/2017,23,12,10,1,3.957,38.47
11/14/2017,23,12,10,1,3.957,38.47
11/13/2017,23,12,10,1,3.957,38.47
11/12/2017,23,12,10,1,3.957,38.47
11/11/2017,23,12,10,1,3.957,38.47
11/10/2017,23,12,10,1,3.957,38.47
11/9/2017,23,12,10,1,3.957,38.47
11/8/2017,23,12,10,1,3.957,38.47
11/7/2017,23,12,10,1,3.957,38.47
11/6/2017,23,12,10,1,3.957,38.47
11/5/2017,23,12,10,1,3.957,38.47
11/4/2017,23,12,10,1,3.957,38.47
11/3/2017,23,12,10,1,3.957,38.47
11/2/2017,23,12,10,1,3.957,38.47
11/1/2017,24,12,11,1,3.917,38.47
10/31/2017,24,12,11,1,3.917,38.47
10/30/2017,24,12,11,1,3.917,38.47
10/29/2017,24,12,11,1,3.917,38.47
10/28/2017,24,12,11,1,3.917,38.47
10/27/2017,24,12,11,1,3.917,38.47
10/26/2017,24,12,11,1,3.917,38.47
10/25/2017,24,12,11,1,3.917,38.41
10/24/2017,24,12,11,1,3.917,38.41
10/23/2017,24,12,11,1,3.917,38.41
10/22/2017,24,12,11,1,3.917,38.41
10/21/2017,24,12,11,1,3.917,38.41
10/20/2017,24,12,11,1,3.917,38.41
10/19/2017,24,12,11,1,3.917,38.41
10/18/2017,24,12,11,1,3.917,38.29
10/17/2017,24,12,11,1,3.917,38.29
10/16/2017,24,12,11,1,3.917,38.29
10/15/2017,24,12,11,1,3.917,38.12
10/14/2017,24,12,11,1,3.917,38.12
10/13/2017,24,12,11,1,3.917,38.12
10/12/2017,24,12,11,1,3.917,38.12
10/11/2017,24,12,11,1,3.917,38.06
10/10/2017,24,12,11,1,3.917,37.76
10/9/2017,24,13,10,1,4,37.76
10/8/2017,24,13,10,1,4,37.76
10/7/2017,24,13,10,1,4,37.76
10/6/2017,24,13,10,1,4,37.76
10/5/2017,24,13,10,1,4,37.76
10/4/2017,24,13,10,1,4,37.76
10/3/2017,24,13,10,1,4,37.71
10/2/2017,24,13,10,1,4,37.71
10/1/2017,24,13,10,1,4,37.71
9/30/2017,24,13,10,1,4,37.71
9/29/2017,24,13,10,1,4,37.71
9/28/2017,24,13,10,1,4,37.71
9/27/2017,24,13,10,1,4,37.71
9/26/2017,24,13,10,1,4,37.71
9/25/2017,24,13,10,1,4,37.71
9/24/2017,24,13,10,1,4,37.71
9/23/2017,24,13,10,1,4,37.71
9/22/2017,24,13,10,1,4,37.71
9/21/2017,24,13,10,1,4,37.71
9/20/2017,24,13,10,1,4,37.71
9/19/2017,24,13,10,1,4,37.71
9/18/2017,24,12,11,1,3.917,37.47
9/17/2017,24,12,11,1,3.917,37.47
9/16/2017,24,12,11,1,3.917,37.47
9/15/2017,24,12,11,1,3.917,37.47
9/14/2017,24,12,11,1,3.917,37.47
9/13/2017,24,12,11,1,3.917,37.35
9/12/2017,24,12,11,1,3.917,37.35
