Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,27,12,14,1,3.815,94.07
2/15/2018,27,12,14,1,3.815,94.07
2/14/2018,27,12,14,1,3.815,94.07
2/13/2018,27,12,14,1,3.815,94.07
2/12/2018,27,12,14,1,3.815,94.07
2/11/2018,27,12,14,1,3.815,94.07
2/10/2018,27,12,14,1,3.815,94.07
2/9/2018,27,12,14,1,3.815,94.07
2/8/2018,27,12,14,1,3.815,93.88
2/7/2018,27,12,14,1,3.815,93.88
2/6/2018,27,12,14,1,3.815,93.88
2/5/2018,27,12,14,1,3.815,93.88
2/4/2018,27,12,14,1,3.815,93.88
2/3/2018,27,12,14,1,3.815,93.88
2/2/2018,27,12,14,1,3.815,93.88
2/1/2018,27,12,14,1,3.815,93.88
1/31/2018,27,12,14,1,3.815,93.88
1/30/2018,27,12,14,1,3.815,93.83
1/29/2018,27,12,14,1,3.815,93.83
1/28/2018,27,12,14,1,3.815,93.83
1/27/2018,27,12,14,1,3.815,93.83
1/26/2018,27,12,14,1,3.815,93.83
1/25/2018,27,12,14,1,3.815,93.83
1/24/2018,27,12,14,1,3.815,93.83
1/23/2018,27,12,14,1,3.815,93.52
1/22/2018,27,12,14,1,3.815,93.1
1/21/2018,27,12,14,1,3.815,93.1
1/20/2018,27,12,14,1,3.815,93.43
1/19/2018,27,12,14,1,3.815,93.43
1/18/2018,27,12,14,1,3.815,93.43
1/17/2018,27,12,14,1,3.815,93.43
1/16/2018,27,13,13,1,3.889,94.2
1/15/2018,27,13,13,1,3.889,94.2
1/14/2018,27,13,12,2,3.815,94.53
1/13/2018,27,13,12,2,3.815,94.53
1/12/2018,27,13,12,2,3.815,94.53
1/11/2018,27,13,12,2,3.815,94.53
1/10/2018,27,13,12,2,3.815,94.44
1/9/2018,27,13,12,2,3.815,94.44
1/8/2018,27,13,12,2,3.815,94.44
1/7/2018,27,13,12,2,3.815,94.44
1/6/2018,27,13,12,2,3.815,94.44
1/5/2018,27,13,12,2,3.815,94.44
1/4/2018,27,13,12,2,3.815,94.44
1/3/2018,27,13,12,2,3.815,94.17
1/2/2018,27,13,12,2,3.815,94
1/1/2018,27,13,12,2,3.815,94
12/31/2017,27,13,12,2,3.815,94
12/30/2017,27,13,12,2,3.815,94
12/29/2017,27,13,12,2,3.815,94
12/28/2017,27,13,12,2,3.815,94
12/27/2017,27,13,12,2,3.815,94
12/26/2017,27,13,12,2,3.815,94
12/25/2017,27,13,12,2,3.815,94
12/24/2017,27,13,12,2,3.815,94
12/23/2017,27,13,12,2,3.815,94
12/22/2017,27,13,12,2,3.815,94
12/21/2017,27,13,12,2,3.815,93.94
12/20/2017,27,13,12,2,3.815,93.94
12/19/2017,27,13,12,2,3.815,93.94
12/18/2017,27,13,12,2,3.815,93.94
12/17/2017,27,13,12,2,3.815,93.94
12/16/2017,27,13,12,2,3.815,93.94
12/15/2017,27,13,12,2,3.815,93.94
12/14/2017,27,13,12,2,3.815,94.18
12/13/2017,27,13,12,2,3.815,94.18
12/12/2017,26,12,12,2,3.769,93.75
12/11/2017,26,12,12,2,3.769,93.75
12/10/2017,26,12,12,2,3.769,93.75
12/9/2017,26,12,12,2,3.769,93.75
12/8/2017,26,12,12,2,3.769,93.75
12/7/2017,26,12,12,2,3.769,93.75
12/6/2017,26,12,12,2,3.769,93.75
12/5/2017,26,12,12,2,3.769,94.29
12/4/2017,26,12,12,2,3.769,94.29
12/3/2017,26,12,12,2,3.769,94.29
12/2/2017,26,12,12,2,3.769,94.29
12/1/2017,26,12,12,2,3.769,94.29
11/30/2017,26,12,12,2,3.769,94.29
11/29/2017,26,12,12,2,3.769,94.29
11/28/2017,26,12,12,2,3.769,94.29
11/27/2017,26,12,12,2,3.769,94.29
11/26/2017,26,12,12,2,3.769,94.29
11/25/2017,26,12,12,2,3.769,94.29
11/24/2017,26,12,12,2,3.769,94.29
11/23/2017,26,12,12,2,3.769,94.29
11/22/2017,26,12,12,2,3.769,94.29
11/21/2017,26,12,12,2,3.769,94.29
11/20/2017,26,12,12,2,3.769,94.29
11/19/2017,26,12,12,2,3.769,94.29
11/18/2017,26,12,12,2,3.769,94.29
11/17/2017,26,12,12,2,3.769,94.29
11/16/2017,26,12,12,2,3.769,94.29
11/15/2017,26,12,12,2,3.769,94.29
11/14/2017,26,11,13,2,3.692,94.06
11/13/2017,26,11,13,2,3.692,94.06
11/12/2017,26,11,13,2,3.692,94.06
11/11/2017,26,11,13,2,3.692,94.06
11/10/2017,26,11,13,2,3.692,94.06
11/9/2017,26,11,13,2,3.692,94.06
11/8/2017,26,11,13,2,3.692,94.06
11/7/2017,26,11,13,2,3.692,94.06
11/6/2017,26,11,13,2,3.692,94.06
11/5/2017,26,11,13,2,3.692,94.12
11/4/2017,26,11,13,2,3.692,94.12
11/3/2017,26,11,13,2,3.692,94.12
11/2/2017,26,11,13,2,3.692,94.12
11/1/2017,26,11,13,2,3.692,94.12
10/31/2017,26,11,13,2,3.692,94.12
10/30/2017,26,11,13,2,3.692,94.12
10/29/2017,26,11,13,2,3.692,94.12
10/28/2017,26,11,13,2,3.692,93.26
10/27/2017,26,11,13,2,3.692,93.26
10/26/2017,26,11,13,2,3.692,93.26
10/25/2017,26,11,13,2,3.692,93.26
10/24/2017,26,11,13,2,3.692,93.26
10/23/2017,26,11,13,2,3.692,93.37
10/22/2017,26,11,13,2,3.692,94.37
10/21/2017,26,11,13,2,3.692,94.37
10/20/2017,26,11,13,2,3.692,94.37
10/19/2017,26,10,14,2,3.615,95.2
10/18/2017,27,11,14,2,3.667,95.14
10/17/2017,27,11,14,2,3.667,95.14
10/16/2017,27,11,14,2,3.667,95.14
10/15/2017,27,11,14,2,3.667,95.05
10/14/2017,27,11,14,2,3.667,95.05
10/13/2017,27,11,14,2,3.667,95.05
10/12/2017,27,11,14,2,3.667,95.05
10/11/2017,27,11,14,2,3.667,95.05
10/10/2017,27,11,14,2,3.667,95.05
10/9/2017,27,11,14,2,3.667,95
10/8/2017,27,11,14,2,3.667,95
10/7/2017,27,11,14,2,3.667,95
10/6/2017,27,11,14,2,3.667,95
10/5/2017,27,11,14,2,3.667,95
10/4/2017,27,11,14,2,3.667,95
10/3/2017,27,11,14,2,3.667,95
10/2/2017,27,11,14,2,3.667,95
10/1/2017,27,11,14,2,3.667,95
9/30/2017,27,11,14,2,3.667,95
9/29/2017,27,11,14,2,3.667,95
9/28/2017,27,11,14,2,3.667,95
9/27/2017,27,11,14,2,3.667,95
9/26/2017,27,11,14,2,3.667,95
9/25/2017,27,11,14,2,3.667,94.8
9/24/2017,27,11,14,2,3.667,94.8
9/23/2017,27,11,14,2,3.667,94.8
9/22/2017,27,11,14,2,3.667,94.8
9/21/2017,27,11,14,2,3.667,94.8
9/20/2017,27,11,14,2,3.667,94.8
9/19/2017,27,11,14,2,3.667,94.8
9/18/2017,27,11,14,2,3.667,94.8
9/17/2017,27,11,14,2,3.667,94.65
9/16/2017,27,11,14,2,3.667,94.65
9/15/2017,27,11,14,2,3.667,94.65
9/14/2017,27,11,14,2,3.667,94.65
9/13/2017,26,10,14,2,3.615,94.26
9/12/2017,26,10,14,2,3.615,94.26
9/11/2017,26,10,14,2,3.615,94.26
9/10/2017,26,10,14,2,3.615,94.26
9/9/2017,26,10,14,2,3.615,94.26
9/8/2017,26,10,14,2,3.615,94.26
9/7/2017,26,10,14,2,3.615,94.26
9/6/2017,26,10,14,2,3.615,94.26
9/5/2017,26,10,14,2,3.615,94.26
9/4/2017,26,10,14,2,3.615,93.78
9/3/2017,26,10,14,2,3.615,93.78
9/2/2017,26,10,14,2,3.615,93.78
9/1/2017,26,10,14,2,3.615,93.78
8/31/2017,26,10,14,2,3.615,93.78
8/30/2017,26,10,14,2,3.615,93.78
8/29/2017,26,10,14,2,3.615,93.78
8/28/2017,26,10,14,2,3.615,93.78
8/27/2017,26,10,14,2,3.615,93.78
8/26/2017,26,10,14,2,3.615,93.78
8/25/2017,26,10,14,2,3.615,93.78
8/24/2017,26,10,14,2,3.615,93.78
8/23/2017,26,10,14,2,3.615,93.78
8/22/2017,26,10,14,2,3.615,93.78
8/21/2017,26,10,14,2,3.615,93.78
8/20/2017,26,10,14,2,3.615,93.78
8/19/2017,26,10,14,2,3.615,93.78
8/18/2017,26,10,14,2,3.615,93.78
8/17/2017,27,10,15,2,3.593,93.78
8/16/2017,27,10,15,2,3.593,93.78
8/15/2017,27,10,15,2,3.593,93.78
8/14/2017,27,11,14,2,3.667,93.78
8/13/2017,27,11,14,2,3.667,93.78
8/12/2017,28,11,15,2,3.643,93.78
8/11/2017,28,11,15,2,3.643,93.78
8/10/2017,28,11,15,2,3.643,93.78
8/9/2017,28,11,15,2,3.643,93.78
8/8/2017,28,11,15,2,3.643,94.26
8/7/2017,28,11,15,2,3.643,94.26
8/6/2017,28,11,15,2,3.643,94.26
8/5/2017,28,11,15,2,3.643,94.26
8/4/2017,28,11,15,2,3.643,94.26
8/3/2017,28,11,15,2,3.643,94.26
8/2/2017,28,11,15,2,3.643,94.26
8/1/2017,28,11,15,2,3.643,93.79
7/31/2017,28,11,15,2,3.643,93.39
7/30/2017,28,11,15,2,3.643,93.39
7/29/2017,28,11,15,2,3.643,93.39
7/28/2017,28,11,15,2,3.643,93.42
7/27/2017,27,11,14,2,3.667,93.76
7/26/2017,27,11,14,2,3.667,92.39
7/25/2017,27,11,14,2,3.667,92.39
7/24/2017,27,11,14,2,3.667,92.39
7/23/2017,27,11,14,2,3.667,92.39
7/22/2017,27,11,14,2,3.667,92.39
7/21/2017,27,11,14,2,3.667,92.39
7/20/2017,27,11,14,2,3.667,92.39
7/19/2017,27,11,14,2,3.667,92.28
7/18/2017,27,11,14,2,3.667,92.21
7/17/2017,27,11,14,2,3.667,92
7/16/2017,27,11,14,2,3.667,92
7/15/2017,27,11,14,2,3.667,92
7/14/2017,27,11,14,2,3.667,92
7/13/2017,27,11,14,2,3.667,92
7/12/2017,27,11,14,2,3.667,92
7/11/2017,27,11,14,2,3.667,92.11
7/10/2017,27,11,14,2,3.667,92.11
7/9/2017,27,11,14,2,3.667,92.11
7/8/2017,27,11,14,2,3.667,92.11
7/7/2017,27,11,14,2,3.667,92.11
7/6/2017,27,11,14,2,3.667,92.11
7/5/2017,27,11,14,2,3.667,92.11
7/4/2017,27,11,14,2,3.667,92.11
7/3/2017,27,11,14,2,3.667,92.11
7/2/2017,27,11,14,2,3.667,92.11
7/1/2017,27,11,14,2,3.667,92.11
6/30/2017,27,11,14,2,3.667,92.11
6/29/2017,27,11,14,2,3.667,92.11
6/28/2017,27,11,14,2,3.667,92.11
6/27/2017,27,11,14,2,3.667,92.11
6/26/2017,27,11,14,2,3.667,92.11
6/25/2017,27,11,14,2,3.667,92.11
6/24/2017,27,11,14,2,3.667,92.11
6/23/2017,27,11,14,2,3.667,92.11
6/22/2017,27,11,14,2,3.667,92.11
6/21/2017,27,11,14,2,3.667,92.11
6/20/2017,27,11,14,2,3.667,92
6/19/2017,27,11,14,2,3.667,92
6/18/2017,27,11,14,2,3.667,92
6/17/2017,27,11,14,2,3.667,92
6/16/2017,27,11,14,2,3.667,92
6/15/2017,27,11,14,2,3.667,92
6/14/2017,27,11,14,2,3.667,92
6/13/2017,27,11,14,2,3.667,92
6/12/2017,27,11,14,2,3.667,92
6/11/2017,27,11,14,2,3.667,92
6/10/2017,27,11,14,2,3.667,92
6/9/2017,27,11,14,2,3.667,92
6/8/2017,27,11,14,2,3.667,92
6/7/2017,27,11,14,2,3.667,92
6/6/2017,27,11,14,2,3.667,92
6/5/2017,27,11,14,2,3.667,92
6/4/2017,27,11,14,2,3.667,92
6/3/2017,27,11,14,2,3.667,92
6/2/2017,27,11,14,2,3.667,92
6/1/2017,27,11,14,2,3.667,92
5/31/2017,27,11,14,2,3.667,92
5/30/2017,27,11,14,2,3.667,92
5/29/2017,27,11,14,2,3.667,92
5/28/2017,27,11,14,2,3.667,92
5/27/2017,27,11,14,2,3.667,92
5/26/2017,27,11,14,2,3.667,92
5/25/2017,27,11,14,2,3.667,92
5/24/2017,27,11,14,2,3.667,92
5/23/2017,27,11,14,2,3.667,92
5/22/2017,27,11,14,2,3.667,92
5/21/2017,27,11,14,2,3.667,92.06
5/20/2017,27,11,14,2,3.667,92.06
5/19/2017,27,11,14,2,3.667,92.06
5/18/2017,27,11,14,2,3.667,92.06
5/17/2017,27,11,14,2,3.667,92.06
5/16/2017,27,11,14,2,3.667,92.06
5/15/2017,27,11,14,2,3.667,92.06
5/14/2017,27,11,14,2,3.667,92.06
5/13/2017,27,11,14,2,3.667,92.06
5/12/2017,27,11,14,2,3.667,92.06
5/11/2017,27,11,14,2,3.667,92.06
5/10/2017,27,11,14,2,3.667,92.06
5/9/2017,27,11,14,2,3.667,92.06
5/8/2017,27,11,14,2,3.667,92.06
5/7/2017,27,11,14,2,3.667,92.06
5/6/2017,27,11,14,2,3.667,92.06
5/5/2017,27,11,14,2,3.667,92.06
5/4/2017,27,11,14,2,3.667,92.06
5/3/2017,27,11,14,2,3.667,92.06
5/2/2017,27,11,14,2,3.667,92.06
5/1/2017,27,11,14,2,3.667,92.06
4/30/2017,28,11,15,2,3.643,92
4/29/2017,28,11,15,2,3.643,92
4/28/2017,28,11,15,2,3.643,92
4/27/2017,28,11,15,2,3.643,91.89
4/26/2017,28,11,15,2,3.643,92.63
4/25/2017,28,10,16,2,3.571,93.28
4/24/2017,28,10,16,2,3.571,93.28
4/23/2017,28,10,16,2,3.571,93.28
4/22/2017,28,10,16,2,3.571,93.28
4/21/2017,28,10,16,2,3.571,93.28
4/20/2017,28,10,16,2,3.571,92.53
4/19/2017,28,10,16,2,3.571,92.53
4/18/2017,28,10,16,2,3.571,92.53
4/17/2017,28,10,16,2,3.571,92.26
4/16/2017,28,10,16,2,3.571,92.26
4/15/2017,28,10,16,2,3.571,92.26
4/14/2017,28,10,16,2,3.571,92.26
4/13/2017,28,10,16,2,3.571,92.26
4/12/2017,28,10,16,2,3.571,92.26
