Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,33,11,22,0,3.667,41.68
2/15/2018,33,11,22,0,3.667,41.68
2/14/2018,33,11,22,0,3.667,41.68
2/13/2018,33,11,22,0,3.667,41.68
2/12/2018,33,11,22,0,3.667,41.68
2/11/2018,33,11,22,0,3.667,41.68
2/10/2018,33,11,22,0,3.667,41.68
2/9/2018,33,11,22,0,3.667,41.68
2/8/2018,33,11,22,0,3.667,41.68
2/7/2018,33,11,22,0,3.667,41.68
2/6/2018,33,11,22,0,3.667,41.68
2/5/2018,33,11,22,0,3.667,41.68
2/4/2018,33,11,22,0,3.667,41.68
2/3/2018,33,11,22,0,3.667,41.68
2/2/2018,33,11,22,0,3.667,41.68
2/1/2018,33,11,22,0,3.667,41.59
1/31/2018,33,11,22,0,3.667,40.85
1/30/2018,33,11,22,0,3.667,40.71
1/29/2018,33,11,22,0,3.667,40.52
1/28/2018,33,11,22,0,3.667,40.52
1/27/2018,33,11,22,0,3.667,40.52
1/26/2018,33,11,22,0,3.667,40.52
1/25/2018,33,11,22,0,3.667,40.3
1/24/2018,33,11,22,0,3.667,40.3
1/23/2018,33,11,22,0,3.667,40.3
1/22/2018,33,11,22,0,3.667,40.3
1/21/2018,33,11,22,0,3.667,40.3
1/20/2018,33,11,22,0,3.667,40.3
1/19/2018,33,11,22,0,3.667,40.3
1/18/2018,33,11,22,0,3.667,40.3
1/17/2018,33,11,22,0,3.667,40.41
1/16/2018,33,11,22,0,3.667,40.32
1/15/2018,33,11,22,0,3.667,40.32
1/14/2018,33,11,22,0,3.667,40.32
1/13/2018,33,11,22,0,3.667,40.32
1/12/2018,33,11,22,0,3.667,40.32
1/11/2018,33,11,22,0,3.667,40.32
1/10/2018,33,11,22,0,3.667,40.32
1/9/2018,33,11,22,0,3.667,40.14
1/8/2018,33,11,22,0,3.667,40.14
1/7/2018,33,11,22,0,3.667,40.14
1/6/2018,33,11,22,0,3.667,40.14
1/5/2018,33,11,22,0,3.667,40.14
1/4/2018,33,11,22,0,3.667,40.14
1/3/2018,33,11,22,0,3.667,40.14
1/2/2018,34,11,23,0,3.647,40.14
1/1/2018,34,11,23,0,3.647,40.14
12/31/2017,34,11,23,0,3.647,40.14
12/30/2017,34,11,23,0,3.647,40.14
12/29/2017,34,11,23,0,3.647,40.14
12/28/2017,34,11,23,0,3.647,40.14
12/27/2017,34,11,23,0,3.647,40.14
12/26/2017,34,11,23,0,3.647,40.14
12/25/2017,34,11,23,0,3.647,40.14
12/24/2017,34,11,23,0,3.647,40.14
