Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,23,7,12,4,3.261,146.33
2/15/2018,23,7,12,4,3.261,146.33
2/14/2018,23,7,12,4,3.261,146.33
2/13/2018,23,7,12,4,3.261,146.33
2/12/2018,23,7,12,4,3.261,146.33
2/11/2018,23,7,12,4,3.261,146.33
2/10/2018,23,7,12,4,3.261,146.33
2/9/2018,23,7,12,4,3.261,146.33
2/8/2018,23,7,12,4,3.261,146.11
2/7/2018,23,7,12,4,3.261,146.11
2/6/2018,23,7,12,4,3.261,146.11
2/5/2018,23,7,12,4,3.261,146.11
2/4/2018,23,7,12,4,3.261,145.44
2/3/2018,23,7,12,4,3.261,145.44
2/2/2018,23,7,12,4,3.261,145.44
2/1/2018,23,7,12,4,3.261,145.44
1/31/2018,23,7,12,4,3.261,145.44
1/30/2018,23,7,12,4,3.261,144.61
1/29/2018,23,7,12,4,3.261,144.61
1/28/2018,23,7,12,4,3.261,144.61
1/27/2018,23,7,12,4,3.261,144.61
1/26/2018,23,7,12,4,3.261,144.61
1/25/2018,23,7,11,5,3.174,141.24
1/24/2018,24,7,12,5,3.167,141.39
1/23/2018,24,7,12,5,3.167,141.53
1/22/2018,24,7,12,5,3.167,138.72
1/21/2018,24,7,12,5,3.167,138.28
1/20/2018,24,7,12,5,3.167,138.28
1/19/2018,24,7,12,5,3.167,138.28
1/18/2018,24,7,12,5,3.167,138.28
1/17/2018,24,7,12,5,3.167,138.28
1/16/2018,24,7,12,5,3.167,138.28
1/15/2018,24,7,12,5,3.167,138.28
1/14/2018,24,7,12,5,3.167,138.28
1/13/2018,24,7,12,5,3.167,138.28
1/12/2018,24,7,12,5,3.167,138.28
1/11/2018,24,7,12,5,3.167,138.28
1/10/2018,24,7,12,5,3.167,137.72
1/9/2018,24,7,12,5,3.167,137.72
1/8/2018,24,6,13,5,3.083,136.78
1/7/2018,24,6,13,5,3.083,135.44
1/6/2018,24,6,13,5,3.083,135.44
1/5/2018,24,6,13,5,3.083,135.44
1/4/2018,24,6,13,5,3.083,135.44
1/3/2018,24,6,13,5,3.083,135.11
1/2/2018,24,6,13,5,3.083,134.78
1/1/2018,24,6,13,5,3.083,134.44
12/31/2017,24,6,13,5,3.083,134.44
12/30/2017,24,6,13,5,3.083,134.44
12/29/2017,24,6,13,5,3.083,134.44
12/28/2017,24,6,13,5,3.083,134.44
12/27/2017,24,6,13,5,3.083,134.44
12/26/2017,24,6,13,5,3.083,134.44
12/25/2017,24,6,13,5,3.083,134.44
12/24/2017,24,6,13,5,3.083,134.44
12/23/2017,24,6,13,5,3.083,134.44
12/22/2017,24,6,13,5,3.083,134.44
12/21/2017,24,6,13,5,3.083,134.44
12/20/2017,24,6,13,5,3.083,134.44
12/19/2017,24,6,13,5,3.083,134.44
12/18/2017,24,6,13,5,3.083,133.83
12/17/2017,24,6,13,5,3.083,133.72
12/16/2017,24,6,13,5,3.083,133.72
12/15/2017,24,6,13,5,3.083,133.72
12/14/2017,24,6,13,5,3.083,133
12/13/2017,24,6,13,5,3.083,133
12/12/2017,24,6,13,5,3.083,133
12/11/2017,24,6,13,5,3.083,133
12/10/2017,24,6,13,5,3.083,133
12/9/2017,24,6,13,5,3.083,133
12/8/2017,24,6,13,5,3.083,133
12/7/2017,24,6,13,5,3.083,132.53
12/6/2017,24,6,13,5,3.083,132.53
12/5/2017,24,6,13,5,3.083,132.53
12/4/2017,24,6,13,5,3.083,132.53
12/3/2017,23,6,13,4,3.174,132.69
12/2/2017,23,6,13,4,3.174,132.69
12/1/2017,23,6,13,4,3.174,132.69
11/30/2017,23,6,13,4,3.174,132.69
11/29/2017,23,6,13,4,3.174,132.69
11/28/2017,23,6,13,4,3.174,132.69
11/27/2017,23,6,13,4,3.174,132.69
11/26/2017,23,6,13,4,3.174,132.31
11/25/2017,23,6,13,4,3.174,132.31
11/24/2017,23,6,13,4,3.174,132.31
11/23/2017,23,6,13,4,3.174,132.31
11/22/2017,23,6,13,4,3.174,132.31
11/21/2017,23,6,13,4,3.174,132.31
11/20/2017,23,6,13,4,3.174,132.31
11/19/2017,23,6,13,4,3.174,132.31
11/18/2017,23,6,13,4,3.174,132.31
11/17/2017,23,6,13,4,3.174,132.31
11/16/2017,23,6,13,4,3.174,132.31
11/15/2017,23,6,13,4,3.174,132.31
11/14/2017,23,6,13,4,3.174,132.31
11/13/2017,23,6,13,4,3.174,132.31
11/12/2017,23,6,13,4,3.174,132.31
11/11/2017,23,6,13,4,3.174,132.31
11/10/2017,23,6,13,4,3.174,132.31
11/9/2017,23,6,13,4,3.174,132.31
11/8/2017,23,6,13,4,3.174,131.75
11/7/2017,23,6,13,4,3.174,131.75
11/6/2017,23,6,13,4,3.174,131.75
11/5/2017,23,6,13,4,3.174,131.75
11/4/2017,23,6,13,4,3.174,131.75
11/3/2017,23,6,13,4,3.174,131.75
11/2/2017,23,6,13,4,3.174,131.75
11/1/2017,23,6,13,4,3.174,131.75
10/31/2017,22,6,12,4,3.182,132.07
10/30/2017,23,6,13,4,3.174,131.25
10/29/2017,23,6,13,4,3.174,131.19
10/28/2017,23,6,13,4,3.174,131.19
10/27/2017,23,6,13,4,3.174,131.19
10/26/2017,23,6,13,4,3.174,131.19
10/25/2017,23,6,13,4,3.174,131.19
10/24/2017,23,6,13,4,3.174,131.19
10/23/2017,23,6,13,4,3.174,131.19
10/22/2017,23,6,13,4,3.174,130.81
10/21/2017,23,6,13,4,3.174,130.81
10/20/2017,23,6,13,4,3.174,130.81
10/19/2017,23,6,13,4,3.174,130.13
10/18/2017,23,6,13,4,3.174,128.13
10/17/2017,23,6,13,4,3.174,128.13
10/16/2017,23,6,13,4,3.174,128.13
10/15/2017,23,7,12,4,3.261,128.13
10/14/2017,23,6,13,4,3.174,126.81
10/13/2017,23,6,13,4,3.174,126.81
10/12/2017,23,6,13,4,3.174,126.81
10/11/2017,23,6,13,4,3.174,126.81
10/10/2017,23,6,13,4,3.174,126.81
10/9/2017,23,6,13,4,3.174,126.63
10/8/2017,23,6,13,4,3.174,126.63
10/7/2017,23,6,13,4,3.174,126.63
10/6/2017,23,6,13,4,3.174,126.63
10/5/2017,23,6,13,4,3.174,126.63
10/4/2017,23,6,13,4,3.174,126.63
10/3/2017,23,6,13,4,3.174,126.63
10/2/2017,23,6,13,4,3.174,126.63
10/1/2017,23,6,13,4,3.174,126.75
9/30/2017,23,6,13,4,3.174,126.75
9/29/2017,23,6,13,4,3.174,126.75
9/28/2017,23,6,13,4,3.174,126.75
9/27/2017,23,6,13,4,3.174,126.75
9/26/2017,23,6,13,4,3.174,126.75
9/25/2017,23,6,13,4,3.174,126.75
9/24/2017,23,6,13,4,3.174,126.75
9/23/2017,23,6,13,4,3.174,126.75
9/22/2017,23,6,13,4,3.174,126.75
9/21/2017,23,6,13,4,3.174,126.75
9/20/2017,23,6,13,4,3.174,126.75
9/19/2017,23,6,13,4,3.174,126.75
9/18/2017,23,6,13,4,3.174,126.81
9/17/2017,23,6,13,4,3.174,126.81
9/16/2017,23,6,13,4,3.174,126.81
9/15/2017,23,6,13,4,3.174,126.81
9/14/2017,23,6,13,4,3.174,126.81
9/13/2017,23,6,13,4,3.174,126.81
9/12/2017,23,6,13,4,3.174,126.81
9/11/2017,23,6,13,4,3.174,127
9/10/2017,22,5,13,4,3.091,126.4
9/9/2017,22,5,13,4,3.091,126.4
9/8/2017,22,5,13,4,3.091,126.4
