Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,23,22,0,1,4.826,266.86
2/15/2018,23,22,0,1,4.826,266.86
2/14/2018,23,22,0,1,4.826,266.86
2/13/2018,23,22,0,1,4.826,266.86
2/12/2018,23,22,0,1,4.826,266.86
2/11/2018,23,22,0,1,4.826,266.86
2/10/2018,23,22,0,1,4.826,266.86
2/9/2018,23,22,0,1,4.826,266.86
2/8/2018,23,22,0,1,4.826,266.86
2/7/2018,23,22,0,1,4.826,266.86
2/6/2018,23,22,0,1,4.826,266.86
2/5/2018,23,22,0,1,4.826,266.86
2/4/2018,23,22,0,1,4.826,266.86
2/3/2018,23,22,0,1,4.826,266.86
2/2/2018,23,22,0,1,4.826,266.86
2/1/2018,23,22,0,1,4.826,266.86
1/31/2018,23,22,0,1,4.826,266.86
1/30/2018,23,22,0,1,4.826,266.86
1/29/2018,23,22,0,1,4.826,266.18
1/28/2018,23,22,0,1,4.826,266.18
1/27/2018,23,22,0,1,4.826,266.18
1/26/2018,23,22,0,1,4.826,266.18
1/25/2018,23,22,0,1,4.826,266.18
1/24/2018,23,22,0,1,4.826,264.59
1/23/2018,23,22,0,1,4.826,264.59
1/22/2018,23,22,0,1,4.826,264.59
1/21/2018,23,22,0,1,4.826,264.59
1/20/2018,23,22,0,1,4.826,264.59
1/19/2018,23,22,0,1,4.826,264.59
1/18/2018,23,22,0,1,4.826,264.59
1/17/2018,23,22,0,1,4.826,262.77
1/16/2018,23,22,0,1,4.826,256.38
1/15/2018,23,22,0,1,4.826,253.52
1/14/2018,23,22,0,1,4.826,253.52
1/13/2018,23,22,0,1,4.826,253.52
1/12/2018,23,22,0,1,4.826,253.52
1/11/2018,23,22,0,1,4.826,249.14
1/10/2018,23,22,0,1,4.826,248.38
1/9/2018,23,22,0,1,4.826,248.38
1/8/2018,23,22,0,1,4.826,248.38
1/7/2018,23,22,0,1,4.826,248.38
1/6/2018,23,22,0,1,4.826,248.38
1/5/2018,23,22,0,1,4.826,248.38
1/4/2018,24,23,0,1,4.833,247.95
