Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,22,11,10,1,3.909,148.36
2/15/2018,22,11,10,1,3.909,148.36
2/14/2018,22,11,10,1,3.909,148.36
2/13/2018,21,10,10,1,3.857,147.85
2/12/2018,21,10,10,1,3.857,147.85
2/11/2018,21,10,10,1,3.857,147.85
2/10/2018,21,10,10,1,3.857,147.85
2/9/2018,21,10,10,1,3.857,147.85
2/8/2018,21,9,11,1,3.762,147.72
2/7/2018,21,9,11,1,3.762,147.72
2/6/2018,21,9,11,1,3.762,147.72
2/5/2018,21,9,11,1,3.762,147.72
2/4/2018,21,9,11,1,3.762,147.72
2/3/2018,21,9,11,1,3.762,147.72
2/2/2018,21,9,11,1,3.762,147.72
2/1/2018,21,9,11,1,3.762,147.72
1/31/2018,21,9,11,1,3.762,147.72
1/30/2018,21,9,11,1,3.762,147.72
1/29/2018,21,9,11,1,3.762,147.72
1/28/2018,21,9,11,1,3.762,146.59
1/27/2018,21,9,11,1,3.762,146.59
1/26/2018,21,9,11,1,3.762,146.59
1/25/2018,21,9,11,1,3.762,145.03
1/24/2018,21,9,11,1,3.762,142.94
1/23/2018,21,9,11,1,3.762,143.06
1/22/2018,21,9,11,1,3.762,141.56
1/21/2018,21,9,11,1,3.762,140.25
1/20/2018,21,9,11,1,3.762,140.25
1/19/2018,21,9,11,1,3.762,140.25
1/18/2018,21,9,11,1,3.762,140.25
1/17/2018,21,9,11,1,3.762,141.27
1/16/2018,21,9,11,1,3.762,141.27
1/15/2018,21,9,11,1,3.762,139.93
1/14/2018,21,9,11,1,3.762,140.13
1/13/2018,21,9,11,1,3.762,140.13
1/12/2018,21,9,11,1,3.762,140.13
1/11/2018,21,9,11,1,3.762,140.13
1/10/2018,21,9,11,1,3.762,140.13
1/9/2018,21,9,11,1,3.762,140.13
1/8/2018,21,9,11,1,3.762,140.13
1/7/2018,21,9,11,1,3.762,139.4
1/6/2018,21,8,12,1,3.667,136.13
1/5/2018,21,8,12,1,3.667,136.13
1/4/2018,21,7,13,1,3.571,133.33
1/3/2018,21,7,13,1,3.571,133.33
1/2/2018,21,6,14,1,3.476,130.53
1/1/2018,21,6,14,1,3.476,129.8
12/31/2017,21,6,14,1,3.476,129.8
12/30/2017,21,6,14,1,3.476,129.8
12/29/2017,21,6,14,1,3.476,129.8
12/28/2017,21,6,14,1,3.476,129.8
12/27/2017,21,6,14,1,3.476,129.8
12/26/2017,21,6,14,1,3.476,129.8
12/25/2017,21,6,14,1,3.476,129.8
12/24/2017,21,6,14,1,3.476,129.8
12/23/2017,21,6,14,1,3.476,129.8
12/22/2017,21,6,14,1,3.476,129.8
12/21/2017,21,6,14,1,3.476,129.8
12/20/2017,21,6,14,1,3.476,129.8
12/19/2017,21,6,14,1,3.476,129.8
12/18/2017,21,6,14,1,3.476,129.8
12/17/2017,21,6,14,1,3.476,129.8
12/16/2017,21,6,14,1,3.476,129.8
12/15/2017,21,6,14,1,3.476,129.8
12/14/2017,21,6,14,1,3.476,129.5
12/13/2017,21,6,14,1,3.476,129.5
12/12/2017,21,6,14,1,3.476,129.5
12/11/2017,21,6,14,1,3.476,129.5
12/10/2017,21,6,14,1,3.476,129.5
12/9/2017,21,6,14,1,3.476,129.5
12/8/2017,21,6,14,1,3.476,129.5
12/7/2017,21,6,14,1,3.476,131.38
