Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,41,35,6,0,4.683,142.21
2/15/2018,41,35,6,0,4.683,142.21
2/14/2018,41,35,6,0,4.683,142.21
2/13/2018,41,35,6,0,4.683,141.69
2/12/2018,41,35,6,0,4.683,141.69
2/11/2018,41,35,6,0,4.683,141.69
2/10/2018,41,35,6,0,4.683,141.69
2/9/2018,41,35,6,0,4.683,141.69
2/8/2018,41,35,6,0,4.683,141.69
2/7/2018,41,35,6,0,4.683,141.69
2/6/2018,41,35,6,0,4.683,141.69
2/5/2018,41,35,6,0,4.683,140.39
2/4/2018,41,35,6,0,4.683,140.06
2/3/2018,41,35,6,0,4.683,140.06
2/2/2018,41,35,6,0,4.683,140.06
2/1/2018,41,35,6,0,4.683,136.31
1/31/2018,41,35,6,0,4.683,133.34
1/30/2018,41,35,6,0,4.683,133.03
1/29/2018,41,35,6,0,4.683,133.03
1/28/2018,41,35,6,0,4.683,131.97
1/27/2018,41,35,6,0,4.683,131.97
1/26/2018,41,35,6,0,4.683,131.39
1/25/2018,41,35,6,0,4.683,130.97
1/24/2018,41,35,6,0,4.683,130.67
1/23/2018,42,36,6,0,4.69,131.05
1/22/2018,41,36,5,0,4.732,130.53
1/21/2018,41,36,5,0,4.732,130.25
1/20/2018,41,36,5,0,4.732,130.06
1/19/2018,41,36,5,0,4.732,130.06
1/18/2018,41,36,5,0,4.732,130.06
1/17/2018,41,36,5,0,4.732,129.03
1/16/2018,41,36,5,0,4.732,128.05
1/15/2018,41,36,5,0,4.732,128.05
1/14/2018,41,36,5,0,4.732,128.05
1/13/2018,41,36,5,0,4.732,128.05
1/12/2018,41,36,5,0,4.732,128.05
1/11/2018,41,36,5,0,4.732,127.62
1/10/2018,41,36,5,0,4.732,127.62
1/9/2018,41,36,5,0,4.732,127.62
1/8/2018,41,36,5,0,4.732,126.46
1/7/2018,41,36,5,0,4.732,126.46
1/6/2018,41,36,5,0,4.732,126.46
1/5/2018,41,36,5,0,4.732,126.46
1/4/2018,41,36,5,0,4.732,126.14
1/3/2018,41,36,5,0,4.732,125.31
1/2/2018,41,36,5,0,4.732,124.83
1/1/2018,41,36,5,0,4.732,124.83
12/31/2017,41,36,5,0,4.732,124.83
12/30/2017,41,36,5,0,4.732,124.83
12/29/2017,41,36,5,0,4.732,124.83
12/28/2017,41,36,5,0,4.732,124.83
12/27/2017,41,36,5,0,4.732,124.22
12/26/2017,41,36,5,0,4.732,124.22
12/25/2017,41,36,5,0,4.732,124.22
12/24/2017,41,36,5,0,4.732,124.22
12/23/2017,41,36,5,0,4.732,124.22
12/22/2017,41,36,5,0,4.732,124.22
12/21/2017,41,36,5,0,4.732,124.22
12/20/2017,41,36,5,0,4.732,123.86
12/19/2017,41,36,5,0,4.732,123.86
12/18/2017,41,36,5,0,4.732,123.86
12/17/2017,41,36,5,0,4.732,123.86
12/16/2017,41,36,5,0,4.732,123.86
12/15/2017,41,36,5,0,4.732,123.86
12/14/2017,41,36,5,0,4.732,123.72
12/13/2017,41,36,5,0,4.732,123.72
12/12/2017,41,36,5,0,4.732,123.58
12/11/2017,41,36,5,0,4.732,123.6
12/10/2017,41,36,5,0,4.732,123.49
12/9/2017,41,36,5,0,4.732,123.49
12/8/2017,41,36,5,0,4.732,123.49
12/7/2017,41,36,5,0,4.732,123.49
12/6/2017,41,36,5,0,4.732,123.49
12/5/2017,41,36,5,0,4.732,123.49
12/4/2017,41,36,5,0,4.732,123.49
12/3/2017,41,36,5,0,4.732,123.49
