Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,37,16,21,0,3.838,108.86
2/15/2018,37,16,21,0,3.838,108.55
2/14/2018,37,16,21,0,3.838,108.52
2/13/2018,37,16,21,0,3.838,108.52
2/12/2018,37,16,21,0,3.838,108.52
2/11/2018,37,16,21,0,3.838,108.52
2/10/2018,37,16,21,0,3.838,108.42
2/9/2018,37,16,21,0,3.838,108.42
2/8/2018,37,16,21,0,3.838,108.42
2/7/2018,37,16,21,0,3.838,106.93
2/6/2018,37,16,21,0,3.838,106.93
2/5/2018,37,16,21,0,3.838,106.93
2/4/2018,37,16,21,0,3.838,106.93
2/3/2018,37,16,21,0,3.838,106.93
2/2/2018,37,16,21,0,3.838,106.93
2/1/2018,37,16,21,0,3.838,106.93
1/31/2018,37,16,21,0,3.838,106.93
1/30/2018,37,16,21,0,3.838,106.93
1/29/2018,37,16,21,0,3.838,106.21
1/28/2018,37,16,21,0,3.838,106.21
1/27/2018,37,16,21,0,3.838,106.21
1/26/2018,37,16,21,0,3.838,106.21
1/25/2018,37,16,21,0,3.838,105.38
1/24/2018,37,16,21,0,3.838,104.59
1/23/2018,37,16,21,0,3.838,104.59
1/22/2018,37,16,21,0,3.838,104.59
1/21/2018,37,16,21,0,3.838,104.59
1/20/2018,37,16,21,0,3.838,104.59
1/19/2018,37,16,21,0,3.838,104.59
1/18/2018,37,16,21,0,3.838,104.59
1/17/2018,37,15,22,0,3.784,104.17
1/16/2018,37,15,22,0,3.784,103.97
1/15/2018,37,15,22,0,3.784,104.1
1/14/2018,37,15,22,0,3.784,104.1
1/13/2018,37,15,22,0,3.784,104.1
1/12/2018,37,15,22,0,3.784,104.1
1/11/2018,37,15,22,0,3.784,104
1/10/2018,37,15,22,0,3.784,102.86
1/9/2018,37,15,22,0,3.784,102.86
1/8/2018,37,15,22,0,3.784,102.86
1/7/2018,37,15,22,0,3.784,102.86
1/6/2018,37,15,22,0,3.784,102.86
1/5/2018,37,15,22,0,3.784,102.86
1/4/2018,37,15,22,0,3.784,102.5
1/3/2018,37,15,22,0,3.784,102.04
1/2/2018,37,15,22,0,3.784,102.04
1/1/2018,37,15,22,0,3.784,101.68
12/31/2017,37,15,22,0,3.784,101.68
12/30/2017,37,15,22,0,3.784,101.68
12/29/2017,37,15,22,0,3.784,101.68
12/28/2017,37,15,22,0,3.784,101.68
12/27/2017,37,15,22,0,3.784,101.68
12/26/2017,37,15,22,0,3.784,101.68
12/25/2017,37,15,22,0,3.784,101.68
12/24/2017,37,15,22,0,3.784,101.68
12/23/2017,37,15,22,0,3.784,101.68
12/22/2017,37,15,22,0,3.784,101.68
