Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,29,7,15,7,3.034,86.96
2/15/2018,29,7,15,7,3.034,86.96
2/14/2018,29,7,15,7,3.034,87.39
2/13/2018,29,7,15,7,3.034,87.39
2/12/2018,29,7,15,7,3.034,87.39
2/11/2018,29,7,15,7,3.034,87.39
2/10/2018,29,7,15,7,3.034,87.39
2/9/2018,29,7,15,7,3.034,87.39
2/8/2018,29,7,15,7,3.034,87.39
2/7/2018,29,7,15,7,3.034,87.39
2/6/2018,29,7,15,7,3.034,87.43
2/5/2018,29,8,15,6,3.172,87.74
2/4/2018,29,8,15,6,3.172,88.14
2/3/2018,29,8,15,6,3.172,88.14
2/2/2018,29,8,15,6,3.172,88.14
2/1/2018,29,8,15,6,3.172,88.23
1/31/2018,29,8,15,6,3.172,88.05
1/30/2018,30,8,15,7,3.1,88.13
1/29/2018,30,8,15,7,3.1,88.13
1/28/2018,30,8,15,7,3.1,88.13
1/27/2018,30,8,15,7,3.1,88.13
1/26/2018,30,8,15,7,3.1,88.13
1/25/2018,30,8,15,7,3.1,88.13
1/24/2018,30,8,15,7,3.1,88.13
1/23/2018,30,8,15,7,3.1,87.91
1/22/2018,30,8,15,7,3.1,87.35
1/21/2018,30,8,15,7,3.1,87.17
1/20/2018,30,8,15,7,3.1,87.17
1/19/2018,30,8,15,7,3.1,87.17
1/18/2018,30,8,15,7,3.1,86.96
1/17/2018,30,8,15,7,3.1,86.7
1/16/2018,30,8,15,7,3.1,86.7
1/15/2018,30,8,15,7,3.1,86.61
1/14/2018,30,8,15,7,3.1,86.61
1/13/2018,30,8,15,7,3.1,86.61
1/12/2018,30,8,15,7,3.1,86.61
1/11/2018,30,8,15,7,3.1,86.61
1/10/2018,30,8,15,7,3.1,86.22
1/9/2018,30,8,15,7,3.1,86.22
1/8/2018,30,8,15,7,3.1,86.22
1/7/2018,30,8,15,7,3.1,86.13
1/6/2018,30,8,15,7,3.1,86.13
1/5/2018,30,8,15,7,3.1,86.13
1/4/2018,30,8,15,7,3.1,86.13
1/3/2018,30,8,15,7,3.1,86.04
1/2/2018,30,8,15,7,3.1,86.04
1/1/2018,30,8,15,7,3.1,86.04
12/31/2017,30,8,15,7,3.1,86.04
12/30/2017,30,8,15,7,3.1,86.04
12/29/2017,30,8,15,7,3.1,86.04
12/28/2017,30,8,15,7,3.1,86.04
12/27/2017,30,8,15,7,3.1,86.04
12/26/2017,30,8,15,7,3.1,86.04
12/25/2017,30,8,15,7,3.1,86.04
12/24/2017,30,8,15,7,3.1,86.04
12/23/2017,30,8,15,7,3.1,86.04
12/22/2017,30,8,15,7,3.1,86.04
12/21/2017,30,8,15,7,3.1,86.04
12/20/2017,30,8,15,7,3.1,85.7
12/19/2017,30,8,15,7,3.1,85.65
12/18/2017,31,8,15,8,3.032,85
12/17/2017,31,8,15,8,3.032,85
12/16/2017,31,8,15,8,3.032,85
12/15/2017,31,8,15,8,3.032,85
12/14/2017,31,8,15,8,3.032,85
12/13/2017,31,8,15,8,3.032,85
12/12/2017,31,8,15,8,3.032,84.88
12/11/2017,31,8,15,8,3.032,85.04
12/10/2017,30,8,14,8,3.033,84.95
12/9/2017,30,8,14,8,3.033,84.95
12/8/2017,30,8,14,8,3.033,84.95
12/7/2017,30,8,14,8,3.033,84.95
12/6/2017,30,8,14,8,3.033,84.95
12/5/2017,30,8,14,8,3.033,84.95
12/4/2017,30,8,14,8,3.033,84.95
12/3/2017,30,8,14,8,3.033,84.64
12/2/2017,30,8,14,8,3.033,84.64
12/1/2017,30,8,14,8,3.033,84.64
11/30/2017,30,8,14,8,3.033,84.64
11/29/2017,30,8,14,8,3.033,84.64
11/28/2017,30,8,14,8,3.033,84.64
11/27/2017,30,8,14,8,3.033,84.64
11/26/2017,30,8,14,8,3.033,84.64
11/25/2017,30,8,14,8,3.033,84.64
11/24/2017,30,8,14,8,3.033,84.64
11/23/2017,30,8,14,8,3.033,84.64
11/22/2017,30,8,14,8,3.033,84.64
11/21/2017,30,8,14,8,3.033,84.64
11/20/2017,30,8,14,8,3.033,84.45
11/19/2017,30,8,14,8,3.033,84.45
11/18/2017,30,8,14,8,3.033,84.45
11/17/2017,30,8,14,8,3.033,84.45
11/16/2017,30,8,14,8,3.033,84.45
11/15/2017,30,8,14,8,3.033,84.68
11/14/2017,30,8,14,8,3.033,84.45
11/13/2017,30,8,14,8,3.033,84.45
11/12/2017,30,8,14,8,3.033,84.45
11/11/2017,30,8,14,8,3.033,84.45
11/10/2017,30,8,14,8,3.033,84.45
11/9/2017,30,8,14,8,3.033,84.45
11/8/2017,30,8,14,8,3.033,84.45
11/7/2017,30,8,14,8,3.033,84.45
11/6/2017,30,8,15,7,3.067,84.34
11/5/2017,30,8,15,7,3.067,84.3
11/4/2017,30,8,15,7,3.067,84.3
